time	V(vin)	V(vout)
6.864946895030650e-007	2.303116e+000	1.350531e+000
6.887360318029259e-007	2.090570e+000	1.126397e+000
7.000000000000011e-007	9.890454e-001	0.000000e+000
7.006781283597365e-007	9.332153e-001	6.781284e-002
7.020343850792071e-007	8.437048e-001	2.034385e-001
7.047468985181485e-007	7.381545e-001	4.746898e-001
7.078026296685772e-007	7.154086e-001	7.802629e-001
7.114852291190172e-007	7.977155e-001	1.148523e+000
7.152582827649758e-007	9.733568e-001	1.525828e+000
7.202060770480102e-007	1.297962e+000	2.020608e+000
7.260722208325990e-007	1.765192e+000	2.607222e+000
7.342107206398703e-007	2.488926e+000	3.421072e+000
7.400848755735406e-007	3.041165e+000	4.008488e+000
7.500000000000013e-007	4.012010e+000	5.000000e+000
7.510496926150156e-007	4.099873e+000	4.895031e+000
7.524492827683680e-007	4.184041e+000	4.755072e+000
7.552484630750727e-007	4.258943e+000	4.475154e+000
7.608468236884822e-007	4.190081e+000	3.915318e+000
7.675551195645449e-007	3.869190e+000	3.244488e+000
7.753360495338309e-007	3.294160e+000	2.466395e+000
7.838985835741680e-007	2.542897e+000	1.610142e+000
7.893839158754802e-007	2.024303e+000	1.061608e+000
8.000000000000013e-007	9.898905e-001	0.000000e+000
8.010616084124535e-007	9.111863e-001	1.061608e-001
8.031848252373577e-007	7.981334e-001	3.184825e-001
8.067351481945725e-007	7.210243e-001	6.735148e-001
8.101759730126909e-007	7.585247e-001	1.017597e+000
8.139509843667395e-007	9.048140e-001	1.395098e+000
8.182703755258790e-007	1.161698e+000	1.827038e+000
8.238823254916115e-007	1.583658e+000	2.388232e+000
8.309857415789479e-007	2.198156e+000	3.098574e+000
8.407240395610222e-007	3.110269e+000	4.072404e+000
8.500000000000016e-007	4.010664e+000	5.000000e+000
8.509275960438995e-007	4.081992e+000	4.907240e+000
8.527827881316954e-007	4.186132e+000	4.721721e+000
8.564931723072870e-007	4.256529e+000	4.350683e+000
8.626657249996110e-007	4.122990e+000	3.733428e+000
8.694231107828591e-007	3.746403e+000	3.057689e+000
8.774788013999927e-007	3.112576e+000	2.252120e+000
8.863501362684978e-007	2.316654e+000	1.364986e+000
8.887301934298059e-007	2.090991e+000	1.126981e+000
9.000000000000016e-007	9.890128e-001	0.000000e+000
9.006509692247595e-007	9.350213e-001	6.509692e-002
9.019529076742754e-007	8.476160e-001	1.952908e-001
9.045567845733071e-007	7.420255e-001	4.556785e-001
9.075839409714990e-007	7.139893e-001	7.583941e-001
9.112604627815359e-007	7.898352e-001	1.126046e+000
9.149952777510079e-007	9.586533e-001	1.499528e+000
9.198823015437130e-007	1.274324e+000	1.988230e+000
9.256513934822662e-007	1.729536e+000	2.565139e+000
9.336534794497065e-007	2.438147e+000	3.365348e+000
9.396197816735593e-007	3.001050e+000	3.961978e+000
9.500000000000017e-007	4.010803e+000	5.000000e+000
9.510380218326459e-007	4.088202e+000	4.896198e+000
9.531140654979344e-007	4.196274e+000	4.688593e+000
9.572661528285113e-007	4.254871e+000	4.273385e+000
9.633152346065393e-007	4.096123e+000	3.668477e+000
9.703737063617819e-007	3.678537e+000	2.962629e+000
9.783269835333256e-007	3.039102e+000	2.167302e+000
9.876300132416541e-007	2.196519e+000	1.236999e+000
9.910016779619079e-007	1.871604e+000	8.998322e-001
9.954972309222465e-007	1.431886e+000	4.502769e-001
1.000000000000000e-006	9.889565e-001	1.803002e-013
