time	V(n001)	V(n003)	V(n003)-V(n002)
1.842145135318769e-004	5.000000e+000	4.999834e+000	-1.521111e-004
1.850549789118475e-004	4.999999e+000	4.999851e+000	-1.235008e-004
1.862268539118475e-004	4.999998e+000	4.999887e+000	-7.581711e-005
1.873987289118475e-004	4.999998e+000	4.999932e+000	-2.479553e-005
1.885706039118475e-004	4.999998e+000	4.999980e+000	2.288818e-005
1.897424789118475e-004	4.999998e+000	5.000024e+000	6.151199e-005
1.909143539118475e-004	4.999999e+000	5.000060e+000	8.773804e-005
1.915325810835583e-004	4.999999e+000	5.000075e+000	9.589293e-005
1.921508082552690e-004	4.999999e+000	5.000086e+000	1.004667e-004
1.927690354269798e-004	4.999999e+000	5.000094e+000	1.014593e-004
1.933872625986906e-004	5.000000e+000	5.000097e+000	9.887073e-005
1.940054897704014e-004	5.000000e+000	5.000097e+000	9.270104e-005
1.946237169421122e-004	5.000000e+000	5.000092e+000	8.295020e-005
1.952419441138229e-004	5.000001e+000	5.000084e+000	6.961823e-005
1.964138191138229e-004	5.000001e+000	5.000064e+000	4.291534e-005
1.975856941138229e-004	5.000001e+000	5.000038e+000	1.382828e-005
1.979305950975625e-004	5.000001e+000	5.000030e+000	5.070044e-006
1.982754960813021e-004	5.000001e+000	5.000022e+000	-3.221084e-006
1.986203970650417e-004	5.000001e+000	5.000014e+000	-1.104511e-005
1.989652980487813e-004	5.000001e+000	5.000006e+000	-1.840202e-005
1.993101990325208e-004	5.000001e+000	4.999998e+000	-2.529183e-005
1.996551000162604e-004	5.000001e+000	4.999991e+000	-3.171454e-005
2.000000010000000e-004	5.000001e+000	4.999983e+000	-3.767014e-005
2.000000020000000e-004	1.044235e-006	4.999983e+000	4.999961e+000
2.000479368912370e-004	1.195893e-003	4.999243e+000	4.974129e+000
2.000958717824741e-004	2.381029e-003	4.997112e+000	4.947110e+000
2.001438066737111e-004	3.556454e-003	4.993591e+000	4.918906e+000
2.001917415649481e-004	4.722168e-003	4.988681e+000	4.889515e+000
2.002396764561852e-004	5.878170e-003	4.982380e+000	4.858939e+000
2.002876113474222e-004	7.024460e-003	4.974690e+000	4.827176e+000
2.003355462386592e-004	8.161039e-003	4.965610e+000	4.794228e+000
2.006710905573185e-004	1.576946e-002	4.866419e+000	4.535260e+000
2.013421791946369e-004	2.906738e-002	4.511002e+000	3.900587e+000
2.025140541946369e-004	4.683201e-002	3.569154e+000	2.585682e+000
2.036859291946369e-004	5.716677e-002	2.350419e+000	1.149917e+000
2.048578041946369e-004	5.959414e-002	9.802275e-001	-2.712494e-001
2.057165254558308e-004	5.632279e-002	-1.627260e-002	-1.199051e+000
2.065856848345651e-004	4.900422e-002	-9.324103e-001	-1.961499e+000
2.074329291667229e-004	3.908566e-002	-1.661605e+000	-2.482404e+000
2.086048041667229e-004	2.290543e-002	-2.378735e+000	-2.859749e+000
2.095913697978367e-004	8.506780e-003	-2.729401e+000	-2.908043e+000
