v1	V(n002)	I(R1)
3.069999999999979e+000	7.365912e-001	-2.333409e-002
3.079999999999978e+000	7.367006e-001	-2.343299e-002
3.089999999999978e+000	7.368096e-001	-2.353190e-002
3.099999999999978e+000	7.369180e-001	-2.363082e-002
3.109999999999978e+000	7.370261e-001	-2.372974e-002
3.119999999999978e+000	7.371337e-001	-2.382866e-002
3.129999999999977e+000	7.372409e-001	-2.392759e-002
3.139999999999977e+000	7.373476e-001	-2.402652e-002
3.149999999999977e+000	7.374539e-001	-2.412546e-002
3.159999999999977e+000	7.375597e-001	-2.422440e-002
3.169999999999976e+000	7.376652e-001	-2.432335e-002
3.179999999999976e+000	7.377702e-001	-2.442230e-002
3.189999999999976e+000	7.378747e-001	-2.452125e-002
3.199999999999976e+000	7.379789e-001	-2.462021e-002
3.209999999999976e+000	7.380827e-001	-2.471917e-002
3.219999999999975e+000	7.381861e-001	-2.481814e-002
3.229999999999975e+000	7.382890e-001	-2.491711e-002
3.239999999999975e+000	7.383915e-001	-2.501608e-002
3.249999999999975e+000	7.384936e-001	-2.511506e-002
3.259999999999975e+000	7.385954e-001	-2.521405e-002
3.269999999999974e+000	7.386968e-001	-2.531303e-002
3.279999999999974e+000	7.387977e-001	-2.541202e-002
3.289999999999974e+000	7.388982e-001	-2.551102e-002
3.299999999999974e+000	7.389984e-001	-2.561002e-002
3.309999999999973e+000	7.390982e-001	-2.570902e-002
3.319999999999973e+000	7.391976e-001	-2.580802e-002
3.329999999999973e+000	7.392967e-001	-2.590703e-002
3.339999999999973e+000	7.393953e-001	-2.600605e-002
3.349999999999973e+000	7.394936e-001	-2.610506e-002
3.359999999999972e+000	7.395915e-001	-2.620408e-002
3.369999999999972e+000	7.396891e-001	-2.630311e-002
3.379999999999972e+000	7.397863e-001	-2.640214e-002
3.389999999999972e+000	7.398831e-001	-2.650117e-002
3.399999999999972e+000	7.399796e-001	-2.660020e-002
3.409999999999971e+000	7.400758e-001	-2.669924e-002
3.419999999999971e+000	7.401715e-001	-2.679829e-002
3.429999999999971e+000	7.402669e-001	-2.689733e-002
3.439999999999971e+000	7.403620e-001	-2.699638e-002
3.449999999999970e+000	7.404568e-001	-2.709543e-002
3.459999999999970e+000	7.405511e-001	-2.719449e-002
3.469999999999970e+000	7.406452e-001	-2.729355e-002
3.479999999999970e+000	7.407389e-001	-2.739261e-002
3.489999999999970e+000	7.408323e-001	-2.749168e-002
3.499999999999969e+000	7.409253e-001	-2.759075e-002
3.509999999999969e+000	7.410180e-001	-2.768982e-002
3.519999999999969e+000	7.411104e-001	-2.778890e-002
3.529999999999969e+000	7.412024e-001	-2.788798e-002
3.539999999999969e+000	7.412941e-001	-2.798706e-002
3.549999999999968e+000	7.413856e-001	-2.808614e-002
3.559999999999968e+000	7.414767e-001	-2.818523e-002
3.569999999999968e+000	7.415674e-001	-2.828433e-002
3.579999999999968e+000	7.416579e-001	-2.838342e-002
3.589999999999967e+000	7.417480e-001	-2.848252e-002
3.599999999999967e+000	7.418379e-001	-2.858162e-002
3.609999999999967e+000	7.419274e-001	-2.868073e-002
3.619999999999967e+000	7.420166e-001	-2.877983e-002
3.629999999999967e+000	7.421055e-001	-2.887894e-002
3.639999999999966e+000	7.421942e-001	-2.897806e-002
3.649999999999966e+000	7.422825e-001	-2.907717e-002
3.659999999999966e+000	7.423705e-001	-2.917629e-002
3.669999999999966e+000	7.424582e-001	-2.927542e-002
3.679999999999966e+000	7.425457e-001	-2.937454e-002
3.689999999999965e+000	7.426328e-001	-2.947367e-002
3.699999999999965e+000	7.427197e-001	-2.957280e-002
3.709999999999965e+000	7.428062e-001	-2.967194e-002
3.719999999999965e+000	7.428925e-001	-2.977107e-002
3.729999999999965e+000	7.429785e-001	-2.987022e-002
3.739999999999964e+000	7.430642e-001	-2.996936e-002
3.749999999999964e+000	7.431496e-001	-3.006850e-002
3.759999999999964e+000	7.432348e-001	-3.016765e-002
3.769999999999964e+000	7.433196e-001	-3.026680e-002
3.779999999999963e+000	7.434042e-001	-3.036596e-002
3.789999999999963e+000	7.434886e-001	-3.046511e-002
3.799999999999963e+000	7.435726e-001	-3.056427e-002
3.809999999999963e+000	7.436564e-001	-3.066344e-002
3.819999999999963e+000	7.437399e-001	-3.076260e-002
3.829999999999962e+000	7.438231e-001	-3.086177e-002
3.839999999999962e+000	7.439061e-001	-3.096094e-002
3.849999999999962e+000	7.439888e-001	-3.106011e-002
3.859999999999962e+000	7.440713e-001	-3.115929e-002
3.869999999999962e+000	7.441535e-001	-3.125846e-002
3.879999999999961e+000	7.442354e-001	-3.135765e-002
3.889999999999961e+000	7.443171e-001	-3.145683e-002
3.899999999999961e+000	7.443985e-001	-3.155601e-002
3.909999999999961e+000	7.444797e-001	-3.165520e-002
3.919999999999960e+000	7.445606e-001	-3.175439e-002
3.929999999999960e+000	7.446413e-001	-3.185359e-002
3.939999999999960e+000	7.447217e-001	-3.195278e-002
3.949999999999960e+000	7.448019e-001	-3.205198e-002
3.959999999999960e+000	7.448818e-001	-3.215118e-002
3.969999999999959e+000	7.449615e-001	-3.225039e-002
3.979999999999959e+000	7.450410e-001	-3.234959e-002
3.989999999999959e+000	7.451201e-001	-3.244880e-002
3.999999999999959e+000	7.451991e-001	-3.254801e-002
4.009999999999959e+000	7.452778e-001	-3.264722e-002
4.019999999999959e+000	7.453563e-001	-3.274644e-002
4.029999999999959e+000	7.454345e-001	-3.284565e-002
4.039999999999958e+000	7.455125e-001	-3.294487e-002
4.049999999999958e+000	7.455903e-001	-3.304410e-002
4.059999999999958e+000	7.456679e-001	-3.314332e-002
4.069999999999958e+000	7.457452e-001	-3.324255e-002
4.079999999999957e+000	7.458223e-001	-3.334178e-002
4.089999999999957e+000	7.458992e-001	-3.344101e-002
4.099999999999957e+000	7.459758e-001	-3.354024e-002
4.109999999999957e+000	7.460522e-001	-3.363948e-002
