Freq.	mag(V(n002))	mag(V(n006))
1.71858585858586e+003	1.09322483061097e-001,0.00000000000000e+000	6.43964347090408e-001,0.00000000000000e+000
1.73868686868687e+003	1.10766899801589e-001,0.00000000000000e+000	6.43929437744056e-001,0.00000000000000e+000
1.75878787878788e+003	1.12211855861981e-001,0.00000000000000e+000	6.43894039860673e-001,0.00000000000000e+000
1.77888888888889e+003	1.13656978091902e-001,0.00000000000000e+000	6.43858161451165e-001,0.00000000000000e+000
1.79898989898990e+003	1.15101876127186e-001,0.00000000000000e+000	6.43821811425529e-001,0.00000000000000e+000
1.81909090909091e+003	1.16546142263968e-001,0.00000000000000e+000	6.43784999624619e-001,0.00000000000000e+000
1.83919191919192e+003	1.17989351370488e-001,0.00000000000000e+000	6.43747736850894e-001,0.00000000000000e+000
1.85929292929293e+003	1.19431060839606e-001,0.00000000000000e+000	6.43710034897999e-001,0.00000000000000e+000
1.87939393939394e+003	1.20870810585069e-001,0.00000000000000e+000	6.43671906578877e-001,0.00000000000000e+000
1.89949494949495e+003	1.22308123084598e-001,0.00000000000000e+000	6.43633365752240e-001,0.00000000000000e+000
1.91959595959596e+003	1.23742503472802e-001,0.00000000000000e+000	6.43594427347113e-001,0.00000000000000e+000
1.93969696969697e+003	1.25173439686952e-001,0.00000000000000e+000	6.43555107385203e-001,0.00000000000000e+000
1.95979797979798e+003	1.26600402668525e-001,0.00000000000000e+000	6.43515423000830e-001,0.00000000000000e+000
1.97989898989899e+003	1.28022846623387e-001,0.00000000000000e+000	6.43475392458162e-001,0.00000000000000e+000
2.00000000000000e+003	1.29440209343339e-001,0.00000000000000e+000	6.43435035165447e-001,0.00000000000000e+000
