time	V(vin)	V(vout)
2.773668117670336e-007	1.543627e+000	2.455604e+000
2.798080624289528e-007	2.068311e+000	3.269354e+000
2.821276573609735e-007	2.667970e+000	4.042552e+000
2.850000000000005e-007	3.484855e+000	5.000000e+000
2.852872342639032e-007	3.558835e+000	4.904255e+000
2.858617027917086e-007	3.680559e+000	4.712766e+000
2.870106398473194e-007	3.815566e+000	4.329787e+000
2.893085139585409e-007	3.814361e+000	3.563829e+000
2.919284599325152e-007	3.512724e+000	2.690513e+000
2.949727993129863e-007	2.897937e+000	1.675734e+000
2.968391348420931e-007	2.419548e+000	1.053622e+000
3.000000000000000e-007	1.518548e+000	1.660894e-013
