Freq.	mag(V(n002)/V(n001))
8.89000000000000e+003	9.42322152089764e-001,0.00000000000000e+000
8.99090909090909e+003	9.43466618092929e-001,0.00000000000000e+000
9.09181818181818e+003	9.44578682457044e-001,0.00000000000000e+000
9.19272727272727e+003	9.45659505053766e-001,0.00000000000000e+000
9.29363636363636e+003	9.46710196843957e-001,0.00000000000000e+000
9.39454545454545e+003	9.47731822183193e-001,0.00000000000000e+000
9.49545454545454e+003	9.48725401011838e-001,0.00000000000000e+000
9.59636363636363e+003	9.49691910935403e-001,0.00000000000000e+000
9.69727272727272e+003	9.50632289200653e-001,0.00000000000000e+000
9.79818181818181e+003	9.51547434572704e-001,0.00000000000000e+000
9.89909090909090e+003	9.52438209118141e-001,0.00000000000000e+000
1.00000000000000e+004	9.53305439898914e-001,0.00000000000000e+000
