t,Vin,VD
0.09015367160783128,-6.0574952527130295,-6.05854773348115
0.09054429660783128,-6.218615045306674,-6.214384967268617
0.09093492160783127,-6.36247915254305,-6.374706655113955
0.09132554660783128,-6.5384889057452815,-6.532045638269266
0.0917161716078313,-6.696879235665078,-6.68404358962041
0.0917649997328313,-6.704795954425745,-6.701787719467902
0.09186265598283128,-6.741641465440808,-6.7337179173893595
0.09205796848283128,-6.825727569924261,-6.78376873072203
0.09210679660783128,-6.83822524593687,-6.782308890533965
0.09220445285783128,-6.876575555816204,-6.787765758399806
0.09239976535783127,-6.947091468943041,-6.8078873672937705
0.09279039035783128,-7.106707357513538,-6.804435251906317
0.09362744392925988,-7.4231815994793156,-6.802246718630473
0.09446449750068846,-7.729527853895691,-6.8047057746251705
