t,VRc,Cid
7.574198634871924e-003,4.554611,1
7.579825736989482e-003,4.538973,1
7.591079941224596e-003,4.506479,1
7.613588349694826e-003,4.448975,1
7.658605166635285e-003,4.380108,1
7.694912046486270e-003,4.382236,1
7.713782885384955e-003,4.417326,1
7.729626633480734e-003,4.469456,1
7.745085359668863e-003,4.536165,1
7.763172828530436e-003,4.630128,1
7.786440114172236e-003,4.766082,1
7.824136591932002e-003,4.974669,1
7.884051609387342e-003,5.172062,1
7.939467384395913e-003,5.148534,1
7.967052563659429e-003,5.046473,1
8.002816563108155e-003,4.875987,1
8.044502319328628e-003,4.691418,1
8.045258061628461e-003,4.688377,1
8.046769546228128e-003,4.682559,1
8.049792515427460e-003,4.670328,1
8.055838453826123e-003,4.644266,1
8.067930330623453e-003,4.59048,1
8.089048647232280e-003,4.497171,1
8.091573794143072e-003,4.486327,1
8.096624087964657e-003,4.465292,1
8.106724675607826e-003,4.425265,1
8.126925850894166e-003,4.360434,1
8.167328201466845e-003,4.285565,1
8.198327610172028e-003,4.282833,1
8.216326156892908e-003,4.314883,1
8.232785846288870e-003,4.367877,1
8.247923812152315e-003,4.432627,1
8.264228282451727e-003,4.517498,1
8.288156272543234e-003,4.658684,1
8.326901564314595e-003,4.875499,1
8.388361912588542e-003,5.078334,1
8.444277715821832e-003,5.049584,1
8.472520861821908e-003,4.943498,1
8.507142718715303e-003,4.781632,1
8.543818821531716e-003,4.626697,1
8.544585880346584e-003,4.623856,1
8.546119997976321e-003,4.618548,1
8.549188233235795e-003,4.607311,1
8.555324703754743e-003,4.582848,1
8.567597644792641e-003,4.530081,1
8.592143526868434e-003,4.428124,1
8.636433358012898e-003,4.287806,1
8.678734170506190e-003,4.225786,1
8.701874197893894e-003,4.239296,1
8.718976508093997e-003,4.28019,1
8.735975136992275e-003,4.344184,1
8.757113603025959e-003,4.447691,1
8.776581723589924e-003,4.561537,1
8.808205971989494e-003,4.758106,1
8.858968047111294e-003,5.00551,1
8.921006876442896e-003,5.11729,1
8.954726021982200e-003,5.048112,1
8.985753169715619e-003,4.908578,1
9.019298980033312e-003,4.74714,1
9.050351982978221e-003,4.60227,1
9.051322389320250e-003,4.597826,1
9.053263202004306e-003,4.588971,1
9.057144827372420e-003,4.571239,1
9.064908078108648e-003,4.535958,1
9.076718285431804e-003,4.483317,1
9.100338700078117e-003,4.389421,1
9.147579529370741e-003,4.259199,1
9.191361577671822e-003,4.218745,1
9.211149250786919e-003,4.242302,1
9.226349173829501e-003,4.28748,1
9.245215381190861e-003,4.36648,1
