time	V(n001)	V(n002)
4.676583482292383e-003	4.252032e+000	3.563105e+000
4.707275446578097e-003	3.982339e+000	3.295632e+000
4.737967410863811e-003	3.672437e+000	2.988369e+000
4.768659375149524e-003	3.322326e+000	2.641315e+000
4.786795535863809e-003	3.102190e+000	2.423059e+000
4.804931696578095e-003	2.873916e+000	2.197314e+000
4.823067857292380e-003	2.637505e+000	1.964082e+000
4.841204018006666e-003	2.392956e+000	1.723363e+000
4.859340178720951e-003	2.140269e+000	1.475156e+000
4.877476339435236e-003	1.879444e+000	1.219461e+000
4.895612500149521e-003	1.610482e+000	9.562788e-001
4.934675000149521e-003	1.018935e+000	3.888110e-001
4.944440625149520e-003	8.683000e-001	2.508041e-001
4.954206250149520e-003	7.168478e-001	1.248647e-001
4.963971875149520e-003	5.647209e-001	3.741765e-002
4.973737500149520e-003	4.120625e-001	4.094120e-003
4.983503125149520e-003	2.590163e-001	2.078638e-005
4.993268750149519e-003	1.057263e-001	5.624620e-008
5.022565625149519e-003	-3.541632e-001	-3.640788e-010
5.037911607292375e-003	-5.954721e-001	-6.053314e-010
5.053257589435233e-003	-8.340303e-001	-8.438339e-010
5.068603571578089e-003	-1.069838e+000	-1.079586e-009
5.083949553720946e-003	-1.302894e+000	-1.312588e-009
5.099295535863802e-003	-1.533200e+000	-1.542840e-009
5.114641518006660e-003	-1.760755e+000	-1.770341e-009
5.129987500149516e-003	-1.985559e+000	-1.995092e-009
5.156494196578087e-003	-2.366026e+000	-2.375469e-009
5.183000893006658e-003	-2.724340e+000	-2.733699e-009
5.209507589435229e-003	-3.060503e+000	-3.069783e-009
5.236014285863799e-003	-3.374515e+000	-3.383721e-009
5.262520982292370e-003	-3.666375e+000	-3.675512e-009
5.289027678720941e-003	-3.936083e+000	-3.945157e-009
5.315534375149512e-003	-4.183640e+000	-4.192655e-009
5.372733035863797e-003	-4.607914e+000	-4.616829e-009
5.429931696578082e-003	-4.876925e+000	-4.885778e-009
5.487130357292366e-003	-4.990675e+000	-4.999501e-009
5.544329018006651e-003	-4.949162e+000	-4.957998e-009
5.601527678720935e-003	-4.752387e+000	-4.761269e-009
5.658726339435220e-003	-4.400350e+000	-4.409315e-009
5.715925000149504e-003	-3.893051e+000	-3.902135e-009
5.739641518006646e-003	-3.644646e+000	-3.653789e-009
5.763358035863788e-003	-3.379957e+000	-3.389162e-009
5.787074553720931e-003	-3.098984e+000	-3.108255e-009
5.810791071578073e-003	-2.801726e+000	-2.811067e-009
5.834507589435216e-003	-2.488184e+000	-2.497599e-009
5.858224107292358e-003	-2.158357e+000	-2.167849e-009
5.881940625149500e-003	-1.812246e+000	-1.821820e-009
5.895891518006643e-003	-1.605311e+000	-1.614933e-009
5.909842410863785e-003	-1.396307e+000	-1.405979e-009
5.923793303720928e-003	-1.185236e+000	-1.194958e-009
5.937744196578071e-003	-9.720967e-001	-9.818681e-010
5.951695089435214e-003	-7.568897e-001	-7.667108e-010
5.965645982292355e-003	-5.396149e-001	-5.494857e-010
5.979596875149498e-003	-3.202721e-001	-3.301928e-010
5.999128125149498e-003	-1.369536e-002	5.330671e-010
6.008893750149498e-003	1.396845e-001	2.084975e-007
6.018659375149497e-003	2.929330e-001	7.625056e-005
6.028425000149497e-003	4.459057e-001	8.201974e-003
6.038190625149497e-003	5.984587e-001	5.245439e-002
6.047956250149497e-003	7.504485e-001	1.504982e-001
6.057721875149497e-003	9.017320e-001	2.809380e-001
6.067487500149496e-003	1.052167e+000	4.199617e-001
6.077253125149496e-003	1.201955e+000	5.627256e-001
6.087018750149496e-003	1.350268e+000	7.048243e-001
6.096784375149496e-003	1.497104e+000	8.462579e-001
6.106550000149496e-003	1.642464e+000	9.870264e-001
6.116315625149495e-003	1.786349e+000	1.127130e+000
6.126081250149495e-003	1.928757e+000	1.266568e+000
6.135846875149495e-003	2.069689e+000	1.405341e+000
6.158168303720923e-003	2.386957e+000	1.717774e+000
6.180489732292351e-003	2.689002e+000	2.015526e+000
6.202811160863779e-003	2.975824e+000	2.298598e+000
6.225132589435208e-003	3.247422e+000	2.566988e+000
6.247454018006636e-003	3.503797e+000	2.820697e+000
6.269775446578064e-003	3.744949e+000	3.059726e+000
6.292096875149492e-003	3.970877e+000	3.284073e+000
6.352085714435205e-003	4.476222e+000	3.785784e+000
6.412074553720918e-003	4.811232e+000	4.118387e+000
6.472063393006631e-003	4.975907e+000	4.281881e+000
6.532052232292343e-003	4.970248e+000	4.276268e+000
6.592041071578057e-003	4.794253e+000	4.101546e+000
6.652029910863770e-003	4.447924e+000	3.757716e+000
6.712018750149483e-003	3.931260e+000	3.244778e+000
6.734340178720911e-003	3.701814e+000	3.016943e+000
6.756661607292339e-003	3.457394e+000	2.774703e+000
6.778983035863767e-003	3.197998e+000	2.518059e+000
6.801304464435195e-003	2.923628e+000	2.247009e+000
6.823625893006623e-003	2.634283e+000	1.961554e+000
6.845947321578051e-003	2.329963e+000	1.661694e+000
6.868268750149479e-003	2.010668e+000	1.347430e+000
6.876639285863764e-003	1.889388e+000	1.228265e+000
6.885009821578051e-003	1.767015e+000	1.108549e+000
6.893380357292336e-003	1.643549e+000	9.882823e-001
6.901750893006622e-003	1.518991e+000	8.674650e-001
6.910121428720907e-003	1.393340e+000	7.460970e-001
6.918491964435193e-003	1.266596e+000	6.241782e-001
6.926862500149478e-003	1.138759e+000	5.017087e-001
6.936628125149478e-003	9.888802e-001	3.608842e-001
6.946393750149478e-003	8.380703e-001	2.241695e-001
6.956159375149477e-003	6.864718e-001	1.036471e-001
6.965925000149477e-003	5.342271e-001	2.675276e-002
6.975690625149477e-003	3.814797e-001	1.785578e-003
6.985456250149477e-003	2.283732e-001	6.379888e-006
6.995221875149477e-003	7.505179e-002	1.723738e-008
7.024518750149476e-003	-3.847589e-001	-3.946680e-010
7.039864732292333e-003	-6.259212e-001	-6.357737e-010
7.055210714435190e-003	-8.642636e-001	-8.740602e-010
7.070556696578047e-003	-1.099786e+000	-1.109527e-009
7.085902678720903e-003	-1.332489e+000	-1.342176e-009
7.101248660863760e-003	-1.562372e+000	-1.572004e-009
7.116594643006617e-003	-1.789435e+000	-1.799014e-009
7.131940625149474e-003	-2.013679e+000	-2.023205e-009
7.158447321578045e-003	-2.393000e+000	-2.402437e-009
7.184954018006616e-003	-2.750008e+000	-2.759361e-009
7.211460714435187e-003	-3.084704e+000	-3.093978e-009
7.237967410863757e-003	-3.397087e+000	-3.406288e-009
7.264474107292328e-003	-3.687158e+000	-3.696290e-009
7.290980803720899e-003	-3.954916e+000	-3.963986e-009
7.317487500149470e-003	-4.200361e+000	-4.209373e-009
7.374686160863754e-003	-4.619336e+000	-4.628249e-009
7.431884821578039e-003	-4.883098e+000	-4.891949e-009
7.489083482292323e-003	-4.991648e+000	-5.000474e-009
7.546282143006608e-003	-4.944986e+000	-4.953822e-009
7.603480803720892e-003	-4.743112e+000	-4.751995e-009
7.660679464435177e-003	-4.386025e+000	-4.394993e-009
7.717878125149461e-003	-3.873726e+000	-3.882815e-009
7.741594643006604e-003	-3.623582e+000	-3.632729e-009
7.765311160863746e-003	-3.357290e+000	-3.366500e-009
7.789027678720888e-003	-3.074851e+000	-3.084127e-009
