time	V(n001)	V(n002)
1.918626265339773e-001	-6.744688e+000	-6.737429e+000
1.920579390339773e-001	-6.821265e+000	-6.783044e+000
1.921067671589773e-001	-6.840135e+000	-6.788687e+000
1.922044234089773e-001	-6.877501e+000	-6.792131e+000
1.923997359089773e-001	-6.952103e+000	-6.796270e+000
1.927903609089773e-001	-7.101146e+000	-6.801177e+000
1.936274144804059e-001	-7.420216e+000	-6.805217e+000
1.944644680518345e-001	-7.739256e+000	-6.808640e+000
1.953015216232631e-001	-8.058267e+000	-6.811444e+000
1.961385751946917e-001	-8.377249e+000	-6.813630e+000
1.969756287661202e-001	-8.696201e+000	-6.815198e+000
1.978126823375488e-001	-9.015124e+000	-6.816147e+000
1.986497359089774e-001	-9.334018e+000	-6.816478e+000
2.000000000020002e-001	-9.848466e+000	-6.817790e+000
2.010167266644557e-001	-9.461127e+000	-6.817483e+000
2.020334533269111e-001	-9.073757e+000	-6.816527e+000
2.030501799893665e-001	-8.686356e+000	-6.814921e+000
2.040669066518220e-001	-8.298925e+000	-6.812666e+000
2.050836333142774e-001	-7.911462e+000	-6.809761e+000
2.061003599767328e-001	-7.523968e+000	-6.806206e+000
2.071170866391883e-001	-7.136443e+000	-6.802002e+000
2.075077116391883e-001	-6.987395e+000	-6.796994e+000
2.078983366391883e-001	-6.837049e+000	-6.764720e+000
2.082889616391883e-001	-6.683751e+000	-6.670466e+000
2.086795866391883e-001	-6.528118e+000	-6.527171e+000
2.090702116391883e-001	-6.371884e+000	-6.371272e+000
2.094608366391883e-001	-6.215646e+000	-6.215253e+000
2.098514616391883e-001	-6.059403e+000	-6.059155e+000
2.102420866391883e-001	-5.903158e+000	-5.903006e+000
2.106327116391883e-001	-5.746911e+000	-5.746822e+000
2.110233366391883e-001	-5.590663e+000	-5.590616e+000
2.114139616391883e-001	-5.434414e+000	-5.434394e+000
2.118045866391883e-001	-5.278165e+000	-5.278163e+000
2.121952116391883e-001	-5.121916e+000	-5.121926e+000
2.125858366391883e-001	-4.965666e+000	-4.965684e+000
2.133670866391884e-001	-4.653167e+000	-4.653194e+000
2.140367294963312e-001	-4.385310e+000	-4.385340e+000
2.147063723534741e-001	-4.117453e+000	-4.117485e+000
2.153760152106169e-001	-3.849596e+000	-3.849630e+000
2.160456580677598e-001	-3.581739e+000	-3.581775e+000
2.167153009249027e-001	-3.313882e+000	-3.313919e+000
2.173849437820456e-001	-3.046024e+000	-3.046063e+000
2.180545866391884e-001	-2.778167e+000	-2.778206e+000
2.189474437820456e-001	-2.421024e+000	-2.421064e+000
2.198403009249027e-001	-2.063882e+000	-2.063923e+000
2.207331580677599e-001	-1.706739e+000	-1.706783e+000
2.216260152106170e-001	-1.349596e+000	-1.349643e+000
2.225188723534742e-001	-9.924536e-001	-9.925039e-001
2.234117294963314e-001	-6.353109e-001	-6.353655e-001
2.243045866391885e-001	-2.781683e-001	-2.782278e-001
2.250858366391885e-001	3.433129e-002	3.426404e-002
2.254764616391885e-001	1.905810e-001	1.905077e-001
2.258670866391885e-001	3.468263e-001	3.466580e-001
2.262577116391885e-001	5.026577e-001	4.941188e-001
2.266483366391885e-001	6.568356e-001	6.068538e-001
2.269624321550177e-001	7.787514e-001	6.543217e-001
2.272871161700585e-001	9.033916e-001	6.742945e-001
2.276310065841846e-001	1.034975e+000	6.864306e-001
2.284122565841846e-001	1.333381e+000	7.029464e-001
2.293051137270417e-001	1.673977e+000	7.125978e-001
2.301979708698989e-001	2.014514e+000	7.210166e-001
2.310908280127560e-001	2.354992e+000	7.282029e-001
2.319836851556132e-001	2.695411e+000	7.341565e-001
2.328765422984704e-001	3.035772e+000	7.388774e-001
2.337693994413275e-001	3.376074e+000	7.423658e-001
2.346622565841847e-001	3.716318e+000	7.446215e-001
2.368564307230773e-001	4.555264e+000	7.506641e-001
2.390506048619699e-001	5.392473e+000	7.560795e-001
2.412447790008625e-001	6.227946e+000	7.608677e-001
2.434389531397551e-001	7.061683e+000	7.650286e-001
2.456331272786478e-001	7.893683e+000	7.685622e-001
2.478273014175404e-001	8.723946e+000	7.714686e-001
2.500214755564330e-001	9.552473e+000	7.737478e-001
2.526277422934171e-001	8.559503e+000	7.715038e-001
2.552340090304012e-001	7.566474e+000	7.680277e-001
2.578402757673853e-001	6.573386e+000	7.633197e-001
2.604465425043694e-001	5.580240e+000	7.573797e-001
2.630528092413536e-001	4.587035e+000	7.502077e-001
2.656590759783377e-001	3.593771e+000	7.418038e-001
2.682653427153218e-001	2.600449e+000	7.321678e-001
2.688233784296075e-001	2.387755e+000	7.298905e-001
2.693814141438931e-001	2.175006e+000	7.264368e-001
2.699394498581788e-001	1.962200e+000	7.218066e-001
2.704974855724645e-001	1.749339e+000	7.160001e-001
2.710555212867502e-001	1.536421e+000	7.090171e-001
2.716135570010358e-001	1.323448e+000	7.008577e-001
2.721715927153215e-001	1.110418e+000	6.915218e-001
2.725622177153215e-001	9.610569e-001	6.799372e-001
2.729528427153215e-001	8.112520e-001	6.590327e-001
2.733434677153215e-001	6.600772e-001	6.093616e-001
2.736601553783277e-001	5.354623e-001	5.259519e-001
2.739966127779255e-001	4.013465e-001	4.011782e-001
2.742510337696016e-001	2.995903e-001	2.996664e-001
2.753099654748735e-001	-1.239830e-001	-1.239202e-001
2.761470190463021e-001	-4.588047e-001	-4.587474e-001
2.769840726177306e-001	-7.936264e-001	-7.935739e-001
2.778211261891591e-001	-1.128448e+000	-1.128399e+000
2.786581797605876e-001	-1.463270e+000	-1.463224e+000
2.794952333320162e-001	-1.798091e+000	-1.798048e+000
2.803322869034446e-001	-2.132913e+000	-2.132872e+000
2.811693404748732e-001	-2.467734e+000	-2.467694e+000
2.818947869034446e-001	-2.757913e+000	-2.757874e+000
2.826202333320160e-001	-3.048091e+000	-3.048054e+000
2.833456797605873e-001	-3.338270e+000	-3.338233e+000
2.840711261891588e-001	-3.628449e+000	-3.628412e+000
2.847965726177301e-001	-3.918627e+000	-3.918590e+000
2.855220190463015e-001	-4.208806e+000	-4.208769e+000
2.862474654748729e-001	-4.498984e+000	-4.498946e+000
2.870287154748729e-001	-4.811484e+000	-4.811441e+000
2.874193404748728e-001	-4.967734e+000	-4.967686e+000
2.878099654748728e-001	-5.123983e+000	-5.123928e+000
2.882005904748728e-001	-5.280233e+000	-5.280166e+000
2.885912154748728e-001	-5.436482e+000	-5.436398e+000
2.889818404748727e-001	-5.592731e+000	-5.592619e+000
2.893724654748727e-001	-5.748979e+000	-5.748827e+000
2.897630904748727e-001	-5.905226e+000	-5.905010e+000
2.901537154748727e-001	-6.061471e+000	-6.061160e+000
2.905443404748727e-001	-6.217713e+000	-6.217257e+000
2.909349654748726e-001	-6.373952e+000	-6.373275e+000
2.913255904748726e-001	-6.530186e+000	-6.529173e+000
2.917162154748726e-001	-6.686413e+000	-6.684952e+000
2.917650435998726e-001	-6.705940e+000	-6.704394e+000
2.918626998498726e-001	-6.744717e+000	-6.737454e+000
2.920580123498726e-001	-6.821293e+000	-6.783051e+000
2.921068404748726e-001	-6.840163e+000	-6.788691e+000
2.922044967248726e-001	-6.877529e+000	-6.792134e+000
2.923998092248726e-001	-6.952131e+000	-6.796272e+000
2.927904342248726e-001	-7.101174e+000	-6.801177e+000
2.936274877963012e-001	-7.420244e+000	-6.805218e+000
2.944645413677297e-001	-7.739284e+000	-6.808640e+000
2.953015949391582e-001	-8.058295e+000	-6.811444e+000
2.961386485105867e-001	-8.377277e+000	-6.813630e+000
2.969757020820152e-001	-8.696229e+000	-6.815198e+000
2.978127556534437e-001	-9.015152e+000	-6.816147e+000
2.986498092248723e-001	-9.334045e+000	-6.816479e+000
3.000000000030004e-001	-9.848466e+000	-6.817790e+000
