t,Vs,Vp,VRc
0.0009311875141165192,-6.6416456517694265,-6.5276374847086815,5.369563287172163
0.0009409531391165192,-6.196069869866799,-5.748541801497618,4.911275141729503
0.0009507187641165188,-5.615786417265342,-4.792073267005561,4.340033683568406
0.0009604843891165188,-4.952093891126333,-3.6696244190711336,3.776944783478096
0.0009702500141165184,-4.180828886949929,-2.6135033448233664,3.108094856246343
0.0009800156391165185,-3.5352543659180755,-1.5408462272463863,2.265013392467388
0.000989781264116518,-2.5593673499330567,-0.4233772263605603,1.4775473302424043
0.000999546889116518,-1.3349510943157405,0.6503888548280485,0.5935822847161172
0.001009312514116518,0.3219754021122405,1.8907138329275905,0.21009689318830613
0.001019078139116517,1.394951175633341,3.0604113610665644,0.2973897531248866
0.001028843764116517,2.041995284940972,4.240798565917355,0.9275673571715695
0.001038609389116517,2.6362802616990475,5.049449843858542,1.4087690214709156
0.001048375014116517,3.2310819087978424,5.9802034795321575,2.1133343232276327
0.001058140639116517,3.9456551949648593,6.9601154947759,2.6974888888397524
0.001067906264116516,4.669267208420442,7.639632773352948,3.4066577721112545
0.001077671889116516,5.290949766845125,8.269887448817647,3.9513499256013174
0.001087437514116516,5.795786060773797,8.721883891020596,4.500464256838805
0.001097203139116516,6.386212055177933,9.113291472181707,5.141900755119328
0.001106968764116516,6.8176956690725845,9.263187654410975,5.533961015474322
0.001116734389116515,7.11419796674867,9.388166742010265,5.898026689115002
0.001125176819970378,7.296703753208951,9.403649805964532,6.014184497017714
0.001132787919142948,7.422191693132826,9.21444260973142,6.202668407351964
0.001142553544142948,7.474034075513892,8.968659309541133,6.129466904673348
0.001152319169142948,7.424939575898742,8.529591820603576,6.067840153723401
0.001162084794142947,7.265923112002501,8.036156919072786,6.059048216965354
0.001171850419142947,6.990526791307362,7.303038974583503,5.764192418698039
0.001181616044142947,6.668043772566659,6.626202578419371,5.430148888366574
0.001191381669142947,6.262933104354289,5.7208954522123285,4.954044649688736
0.001201147294142947,5.649830349187919,4.812892615132241,4.203524038523609
0.001210912919142946,4.924824636111491,3.678175410527351,3.679203141462641
0.001220678544142946,4.12746949093585,2.6121580445343855,2.9534089118945572
0.001230444169142946,3.505947296684331,1.6138882756721686,2.3302954222435375
0.001240209794142946,2.689161877873774,0.4404181987752084,1.4172324118776642
0.001249975419142946,1.3415837329848972,-0.8172901375142716,0.6287709569322754
0.001259741044142945,-0.48827059924620986,-2.0238275455906862,0.1887682800322016
0.001269506669142945,-1.5086527690910243,-3.118070477983206,0.3936292998412166
0.001279272294142945,-2.0649319800599644,-4.092943834352309,0.9758145498068063
0.001289037919142945,-2.6693630691316628,-5.102377048506805,1.4371901551078814
0.001298803544142945,-3.362674256185483,-6.086695373546183,2.0717117055786947
0.001308569169142944,-3.9384893437940556,-6.894715617143092,2.762166486943829
0.001318334794142944,-4.696120405072,-7.774677535348752,3.4336652658045725
0.001328100419142944,-5.34991352575703,-8.271281057485096,4.044471592289806
0.001337866044142944,-5.852252324038814,-8.781447097089428,4.653181372643911
0.001347631669142944,-6.346954611657067,-9.14027606208353,5.12445609296662
0.001357397294142943,-6.770074711546613,-9.271175188949508,5.512349405613016
0.001367162919142943,-7.13016381790877,-9.437416945391432,5.9148869387748
0.001375874540554432,-7.309209787612975,-9.407996280848892,6.045622332404369
0.001383924019529871,-7.540163198441849,-9.302900800614848,6.222426942372184
0.001393689644529871,-7.51046707960642,-8.954091121455356,6.220152168369248
0.00140345526952987,-7.4364717312261215,-8.37026564268456,6.084199245179077
0.00141322089452987,-7.204482248485813,-7.88940077681334,5.958282028593396
0.00142298651952987,-6.949901445955767,-7.182719700551869,5.735084067583301
0.00143275214452987,-6.5935518203394485,-6.403144310288282,5.283808220020856
0.001442517769529869,-6.102428072445357,-5.55144006542613,4.770400279805541
0.001452283394529869,-5.5497556746520464,-4.670465557168392,4.265349704474558
0.001462049019529869,-4.806903092715874,-3.586661494582804,3.6798622259364215
0.001471814644529869,-4.17831257055263,-2.5757285595858304,2.8432789934541423
0.001481580269529869,-3.366666541492322,-1.3004949051920698,2.0291283002132823
0.001491345894529868,-2.4067314156335233,-0.19082856064151332,1.3873233330476689
0.001501111519529868,-1.1476756723625976,1.0130508047870612,0.5970301255113246
0.001510877144529868,1.1574694152143052,2.030878849427325,0.08749905666150057
0.001512097847654868,1.2275584290339592,2.2186557418992163,0.20548887762129225
0.001514539253904868,1.3070920105649815,2.471409672054345,0.21666533663873788
0.001519422066404868,1.4868295576389723,3.077014161243013,0.38095282876307496
0.001529187691404868,2.1085907862642905,4.1899828963055885,0.9071853531163704
0.001538953316404868,2.8064036929466623,5.248949331717054,1.4670409942417448
0.001548718941404867,3.3126403269196034,6.149385999300338,2.1302067124041923
0.001558484566404867,3.9642181407635135,6.938744839459929,2.715655342117387
0.001568250191404867,4.720418922106957,7.610803171037579,3.2957863570241934
0.001578015816404867,5.313549003527922,8.317056007586315,4.019535962806132
0.001587781441404867,5.868103255324653,8.825364652682994,4.7101124234420375
0.001597547066404866,6.436662047888634,9.214103307035113,5.1196892078472995
0.001607312691404866,6.716996833381202,9.347237285768218,5.526655422474552
0.001617078316404866,7.187666335314996,9.363875481907646,5.869628612438252
0.001625736795283148,7.328255639078455,9.315626486080577,6.0639143867001435
0.001633699730798547,7.39216265488662,9.21247015438183,6.214576982969254
0.001643465355798547,7.540520097161583,8.937061924263828,6.1156597418324345
0.001653230980798547,7.3559528544591934,8.565080416792824,6.052507588400354
0.001662996605798547,7.252614442265876,7.937558584697059,5.906590211984092
0.001672762230798547,6.898896032509578,7.247310433257485,5.659941999490112
0.001682527855798546,6.450053165232389,6.47959397130349,5.277200807755244
0.001692293480798546,6.005757755520939,5.6090492482959515,4.777313313041055
0.001702059105798546,5.465502694717853,4.6664660883432685,4.309166728506662
0.001711824730798546,4.84932441862187,3.7263204837663357,3.5722424962656336
0.001721590355798545,4.148018634110657,2.538060406651254,2.861330168954635
0.001731355980798545,3.368440960700775,1.3575382777274914,2.1361864745191568
0.001741121605798545,2.454652937108494,0.23323506168501654,1.3176239397595395
0.001750887230798545,1.207198184858736,-0.9217284869023309,0.5716410436570203
0.001760652855798545,-1.0172903303427943,-2.0900470464499654,0.0587400723115537
0.001761873558923544,-1.2860587979578613,-2.2523211515254222,0.1220990855402626
0.001764314965173545,-1.3533284859725883,-2.447952549859747,0.16911539243255813
0.001769197777673545,-1.433728895841175,-2.93008972422587,0.41199429033110974
0.001778963402673544,-2.0810341247799564,-4.131433835882979,0.8739122439157753
0.001788729027673544,-2.646260179117446,-5.120159922139831,1.4303571229012257
0.001798494652673544,-3.3416443016307498,-6.112213109459849,2.1123379238473357
0.001808260277673544,-3.9706165901965096,-6.811860546784299,2.814794515823956
0.001818025902673544,-4.7268984719373845,-7.7259773477568325,3.4024817435773267
0.001827791527673543,-5.321315794609374,-8.188666981201674,4.022014442852374
0.001837557152673543,-5.827997876102496,-8.84411546576258,4.5923621693189745
0.001847322777673543,-6.303145453257243,-9.097704140595209,5.100350451137761
0.001857088402673543,-6.759906411394287,-9.277193692101958,5.431920716715427
0.001866854027673543,-7.066821128099009,-9.399572873567868,5.875284176686173
0.001875371615202161,-7.237929539068515,-9.40992542686776,6.056965491130212
0.001883105107071324,-7.435655959408068,-9.257458984822916,6.179740828512801
0.001892870732071324,-7.5169891574551615,-8.926815424779134,6.306476737223206
0.001902636357071324,-7.332459467149754,-8.526394606381883,6.174562627709085
