time	V(n001)	V(n002)
9.030772958575051e-002	9.528474e-001	6.252540e-001
9.131219387146480e-002	8.568367e-001	6.179583e-001
9.209344387146481e-002	7.820268e-001	6.094510e-001
9.248406887146482e-002	7.445669e-001	6.040428e-001
9.287469387146483e-002	7.070507e-001	5.974534e-001
9.326531887146483e-002	6.694506e-001	5.890995e-001
9.365594387146484e-002	6.317191e-001	5.779888e-001
9.404656887146484e-002	5.937795e-001	5.625068e-001
9.443719387146485e-002	5.555345e-001	5.406131e-001
9.482781887146485e-002	5.169411e-001	5.114006e-001
9.521844387146486e-002	4.780759e-001	4.764813e-001
9.560906887146486e-002	4.390738e-001	4.386878e-001
9.599969387146487e-002	4.000263e-001	3.999390e-001
9.639031887146488e-002	3.609672e-001	3.609478e-001
9.678094387146488e-002	3.219054e-001	3.219011e-001
9.717156887146489e-002	2.828431e-001	2.828421e-001
1.000000000010000e-001	-2.119530e-029	-4.451012e-028
1.004245056434118e-001	4.245058e-002	4.245080e-002
1.008490112858236e-001	8.490115e-002	8.490144e-002
1.012735169282354e-001	1.273517e-001	1.273519e-001
1.016980225706472e-001	1.698023e-001	1.698022e-001
1.021225282130590e-001	2.122528e-001	2.122524e-001
1.025470338554708e-001	2.547033e-001	2.547024e-001
1.029715394978825e-001	2.971539e-001	2.971522e-001
1.033621644978826e-001	3.362161e-001	3.362086e-001
1.037527894978826e-001	3.752773e-001	3.752436e-001
1.041434144978826e-001	4.143339e-001	4.141829e-001
1.045340394978826e-001	4.533711e-001	4.527143e-001
1.049246644978826e-001	4.923373e-001	4.897544e-001
1.053152894978826e-001	5.311182e-001	5.229034e-001
1.057059144978826e-001	5.695865e-001	5.494874e-001
1.060965394978826e-001	6.077094e-001	5.688192e-001
1.064871644978826e-001	6.455610e-001	5.824515e-001
1.068777894978826e-001	6.832375e-001	5.924084e-001
1.072684144978826e-001	7.208044e-001	6.000628e-001
1.076590394978826e-001	7.582977e-001	6.061735e-001
1.084402894978826e-001	8.331481e-001	6.155316e-001
1.092773430693112e-001	9.131905e-001	6.223145e-001
1.101143966407398e-001	9.931977e-001	6.283586e-001
1.109514502121684e-001	1.073170e+000	6.336639e-001
1.117885037835970e-001	1.153107e+000	6.382304e-001
1.126255573550255e-001	1.233008e+000	6.420581e-001
1.134626109264541e-001	1.312875e+000	6.451470e-001
1.142996644978827e-001	1.392706e+000	6.474971e-001
1.185407359264542e-001	1.797062e+000	6.568394e-001
1.227818073550257e-001	2.201362e+000	6.649854e-001
1.270228787835972e-001	2.605604e+000	6.719352e-001
1.312639502121687e-001	3.009790e+000	6.776889e-001
1.355050216407402e-001	3.413918e+000	6.822463e-001
1.397460930693116e-001	3.817990e+000	6.856075e-001
1.439871644978831e-001	4.222005e+000	6.877725e-001
1.500429487247595e-001	4.790748e+000	6.916085e-001
1.549340888451297e-001	4.324822e+000	6.894403e-001
1.598252289654998e-001	3.858840e+000	6.860941e-001
1.647163690858699e-001	3.392802e+000	6.815701e-001
1.696075092062400e-001	2.926707e+000	6.758682e-001
1.744986493266101e-001	2.460557e+000	6.689884e-001
1.793897894469803e-001	1.994350e+000	6.609307e-001
1.842809295673504e-001	1.528087e+000	6.516951e-001
1.852853938530647e-001	1.432313e+000	6.493517e-001
1.862898581387790e-001	1.336498e+000	6.461829e-001
1.872943224244933e-001	1.240645e+000	6.421887e-001
1.882987867102076e-001	1.144752e+000	6.373692e-001
1.893032509959219e-001	1.048820e+000	6.317243e-001
1.903077152816362e-001	9.528487e-001	6.252541e-001
1.913121795673505e-001	8.568380e-001	6.179584e-001
1.920934295673505e-001	7.820282e-001	6.094512e-001
1.924840545673505e-001	7.445683e-001	6.040429e-001
1.928746795673505e-001	7.070521e-001	5.974536e-001
1.932653045673505e-001	6.694520e-001	5.890999e-001
1.936559295673505e-001	6.317205e-001	5.779893e-001
1.940465545673505e-001	5.937809e-001	5.625075e-001
1.944371795673505e-001	5.555360e-001	5.406141e-001
1.948278045673505e-001	5.169425e-001	5.114018e-001
1.952184295673505e-001	4.780773e-001	4.764826e-001
1.956090545673505e-001	4.390752e-001	4.386892e-001
1.959996795673505e-001	4.000277e-001	3.999404e-001
1.963903045673505e-001	3.609686e-001	3.609492e-001
1.967809295673506e-001	3.219068e-001	3.219025e-001
1.971715545673506e-001	2.828445e-001	2.828435e-001
2.000000000020002e-001	3.389308e-029	7.117547e-028
2.004244929741677e-001	4.244931e-002	4.244954e-002
2.008489859463352e-001	8.489861e-002	8.489891e-002
