Freq.	mag(V(n002)/V(n006))
7.79229229229228e+002	7.97999776944991e-001,0.00000000000000e+000
7.84224224224223e+002	8.02772597188937e-001,0.00000000000000e+000
7.89219219219218e+002	8.07539294892853e-001,0.00000000000000e+000
7.94214214214212e+002	8.12299844199176e-001,0.00000000000000e+000
7.99209209209207e+002	8.17054219460749e-001,0.00000000000000e+000
8.04204204204202e+002	8.21802395241054e-001,0.00000000000000e+000
8.09199199199197e+002	8.26544346314425e-001,0.00000000000000e+000
8.14194194194192e+002	8.31280047666240e-001,0.00000000000000e+000
8.19189189189187e+002	8.36009474493112e-001,0.00000000000000e+000
8.24184184184182e+002	8.40732602203050e-001,0.00000000000000e+000
8.29179179179177e+002	8.45449406415622e-001,0.00000000000000e+000
8.34174174174172e+002	8.50159862962085e-001,0.00000000000000e+000
8.39169169169167e+002	8.54863947885520e-001,0.00000000000000e+000
8.44164164164162e+002	8.59561637440936e-001,0.00000000000000e+000
8.49159159159157e+002	8.64252908095370e-001,0.00000000000000e+000
8.54154154154152e+002	8.68937736527970e-001,0.00000000000000e+000
8.59149149149147e+002	8.73616099630062e-001,0.00000000000000e+000
8.64144144144142e+002	8.78287974505210e-001,0.00000000000000e+000
8.69139139139137e+002	8.82953338469250e-001,0.00000000000000e+000
8.74134134134132e+002	8.87612169050321e-001,0.00000000000000e+000
8.79129129129127e+002	8.92264443988879e-001,0.00000000000000e+000
8.84124124124122e+002	8.96910141237694e-001,0.00000000000000e+000
8.89119119119117e+002	9.01549238961839e-001,0.00000000000000e+000
8.94114114114112e+002	9.06181715538661e-001,0.00000000000000e+000
8.99109109109107e+002	9.10807549557741e-001,0.00000000000000e+000
9.04104104104101e+002	9.15426719820841e-001,0.00000000000000e+000
9.09099099099096e+002	9.20039205341831e-001,0.00000000000000e+000
9.14094094094091e+002	9.24644985346620e-001,0.00000000000000e+000
9.19089089089086e+002	9.29244039273049e-001,0.00000000000000e+000
9.24084084084081e+002	9.33836346770797e-001,0.00000000000000e+000
9.29079079079076e+002	9.38421887701251e-001,0.00000000000000e+000
9.34074074074071e+002	9.43000642137382e-001,0.00000000000000e+000
9.39069069069066e+002	9.47572590363595e-001,0.00000000000000e+000
9.44064064064061e+002	9.52137712875579e-001,0.00000000000000e+000
9.49059059059056e+002	9.56695990380124e-001,0.00000000000000e+000
9.54054054054051e+002	9.61247403794952e-001,0.00000000000000e+000
9.59049049049046e+002	9.65791934248516e-001,0.00000000000000e+000
9.64044044044041e+002	9.70329563079795e-001,0.00000000000000e+000
9.69039039039036e+002	9.74860271838073e-001,0.00000000000000e+000
9.74034034034031e+002	9.79384042282710e-001,0.00000000000000e+000
9.79029029029026e+002	9.83900856382901e-001,0.00000000000000e+000
9.84024024024021e+002	9.88410696317416e-001,0.00000000000000e+000
9.89019019019016e+002	9.92913544474340e-001,0.00000000000000e+000
9.94014014014011e+002	9.97409383450788e-001,0.00000000000000e+000
9.99009009009006e+002	1.00189819605263e+000,0.00000000000000e+000
1.00400400400400e+003	1.00637996529416e+000,0.00000000000000e+000
1.00899899899900e+003	1.01085467439781e+000,0.00000000000000e+000
1.01399399399399e+003	1.01532230679385e+000,0.00000000000000e+000
1.01898898898899e+003	1.01978284611999e+000,0.00000000000000e+000
1.02398398398398e+003	1.02423627622106e+000,0.00000000000000e+000
1.02897897897898e+003	1.02868258114871e+000,0.00000000000000e+000
1.03397397397397e+003	1.03312174516094e+000,0.00000000000000e+000
1.03896896896897e+003	1.03755375272182e+000,0.00000000000000e+000
1.04396396396396e+003	1.04197858850103e+000,0.00000000000000e+000
1.04895895895896e+003	1.04639623737351e+000,0.00000000000000e+000
1.05395395395395e+003	1.05080668441903e+000,0.00000000000000e+000
1.05894894894895e+003	1.05520991492176e+000,0.00000000000000e+000
1.06394394394394e+003	1.05960591436986e+000,0.00000000000000e+000
1.06893893893894e+003	1.06399466845504e+000,0.00000000000000e+000
1.07393393393393e+003	1.06837616307209e+000,0.00000000000000e+000
1.07892892892893e+003	1.07275038431844e+000,0.00000000000000e+000
1.08392392392392e+003	1.07711731849370e+000,0.00000000000000e+000
1.08891891891892e+003	1.08147695209916e+000,0.00000000000000e+000
1.09391391391391e+003	1.08582927183729e+000,0.00000000000000e+000
1.09890890890891e+003	1.09017426461130e+000,0.00000000000000e+000
1.10390390390390e+003	1.09451191752457e+000,0.00000000000000e+000
1.10889889889890e+003	1.09884221788017e+000,0.00000000000000e+000
1.11389389389389e+003	1.10316515318032e+000,0.00000000000000e+000
1.11888888888889e+003	1.10748071112588e+000,0.00000000000000e+000
1.12388388388388e+003	1.11178887961578e+000,0.00000000000000e+000
1.12887887887888e+003	1.11608964674648e+000,0.00000000000000e+000
1.13387387387387e+003	1.12038300081142e+000,0.00000000000000e+000
1.13886886886887e+003	1.12466893030042e+000,0.00000000000000e+000
1.14386386386386e+003	1.12894742389916e+000,0.00000000000000e+000
1.14885885885886e+003	1.13321847048853e+000,0.00000000000000e+000
1.15385385385385e+003	1.13748205914410e+000,0.00000000000000e+000
1.15884884884885e+003	1.14173817913548e+000,0.00000000000000e+000
1.16384384384384e+003	1.14598681992570e+000,0.00000000000000e+000
1.16883883883884e+003	1.15022797117065e+000,0.00000000000000e+000
1.17383383383383e+003	1.15446162271840e+000,0.00000000000000e+000
1.17882882882883e+003	1.15868776460859e+000,0.00000000000000e+000
1.18382382382382e+003	1.16290638707180e+000,0.00000000000000e+000
1.18881881881882e+003	1.16711748052888e+000,0.00000000000000e+000
1.19381381381381e+003	1.17132103559034e+000,0.00000000000000e+000
1.19880880880881e+003	1.17551704305563e+000,0.00000000000000e+000
1.20380380380380e+003	1.17970549391253e+000,0.00000000000000e+000
1.20879879879880e+003	1.18388637933643e+000,0.00000000000000e+000
1.21379379379379e+003	1.18805969068968e+000,0.00000000000000e+000
1.21878878878879e+003	1.19222541952088e+000,0.00000000000000e+000
1.22378378378378e+003	1.19638355756421e+000,0.00000000000000e+000
1.22877877877878e+003	1.20053409673872e+000,0.00000000000000e+000
1.23377377377377e+003	1.20467702914759e+000,0.00000000000000e+000
1.23876876876877e+003	1.20881234707749e+000,0.00000000000000e+000
1.24376376376376e+003	1.21294004299778e+000,0.00000000000000e+000
1.24875875875876e+003	1.21706010955983e+000,0.00000000000000e+000
1.25375375375375e+003	1.22117253959629e+000,0.00000000000000e+000
1.25874874874875e+003	1.22527732612035e+000,0.00000000000000e+000
1.26374374374374e+003	1.22937446232497e+000,0.00000000000000e+000
1.26873873873874e+003	1.23346394158216e+000,0.00000000000000e+000
1.27373373373373e+003	1.23754575744224e+000,0.00000000000000e+000
1.27872872872873e+003	1.24161990363302e+000,0.00000000000000e+000
1.28372372372372e+003	1.24568637405913e+000,0.00000000000000e+000
1.28871871871872e+003	1.24974516280114e+000,0.00000000000000e+000
1.29371371371371e+003	1.25379626411489e+000,0.00000000000000e+000
1.29870870870871e+003	1.25783967243063e+000,0.00000000000000e+000
1.30370370370370e+003	1.26187538235231e+000,0.00000000000000e+000
1.30869869869870e+003	1.26590338865671e+000,0.00000000000000e+000
1.31369369369369e+003	1.26992368629272e+000,0.00000000000000e+000
1.31868868868869e+003	1.27393627038048e+000,0.00000000000000e+000
1.32368368368368e+003	1.27794113621065e+000,0.00000000000000e+000
1.32867867867868e+003	1.28193827924353e+000,0.00000000000000e+000
1.33367367367367e+003	1.28592769510829e+000,0.00000000000000e+000
1.33866866866867e+003	1.28990937960216e+000,0.00000000000000e+000
1.34366366366366e+003	1.29388332868958e+000,0.00000000000000e+000
1.34865865865866e+003	1.29784953850141e+000,0.00000000000000e+000
1.35365365365365e+003	1.30180800533409e+000,0.00000000000000e+000
1.35864864864865e+003	1.30575872564882e+000,0.00000000000000e+000
1.36364364364365e+003	1.30970169607069e+000,0.00000000000000e+000
1.36863863863864e+003	1.31363691338791e+000,0.00000000000000e+000
1.37363363363364e+003	1.31756437455089e+000,0.00000000000000e+000
1.37862862862863e+003	1.32148407667147e+000,0.00000000000000e+000
1.38362362362363e+003	1.32539601702203e+000,0.00000000000000e+000
1.38861861861862e+003	1.32930019303464e+000,0.00000000000000e+000
1.39361361361362e+003	1.33319660230025e+000,0.00000000000000e+000
1.39860860860861e+003	1.33708524256776e+000,0.00000000000000e+000
1.40360360360361e+003	1.34096611174324e+000,0.00000000000000e+000
1.40859859859860e+003	1.34483920788903e+000,0.00000000000000e+000
1.41359359359360e+003	1.34870452922286e+000,0.00000000000000e+000
1.41858858858859e+003	1.35256207411702e+000,0.00000000000000e+000
