Freq.	mag((V(n007)-V(n002))/V(n006))
1.91272072072072e+004	1.40782491700790e+001,0.00000000000000e+000
1.92272972972973e+004	1.41108192064325e+001,0.00000000000000e+000
1.93273873873874e+004	1.41431295122442e+001,0.00000000000000e+000
1.94274774774775e+004	1.41751828267957e+001,0.00000000000000e+000
1.95275675675676e+004	1.42069818656733e+001,0.00000000000000e+000
1.96276576576576e+004	1.42385293207817e+001,0.00000000000000e+000
1.97277477477477e+004	1.42698278603663e+001,0.00000000000000e+000
1.98278378378378e+004	1.43008801290426e+001,0.00000000000000e+000
1.99279279279279e+004	1.43316887478342e+001,0.00000000000000e+000
2.00280180180180e+004	1.43622563142180e+001,0.00000000000000e+000
2.01281081081081e+004	1.43925854021758e+001,0.00000000000000e+000
2.02281981981982e+004	1.44226785622530e+001,0.00000000000000e+000
2.03282882882883e+004	1.44525383216242e+001,0.00000000000000e+000
2.04283783783784e+004	1.44821671841644e+001,0.00000000000000e+000
2.05284684684684e+004	1.45115676305259e+001,0.00000000000000e+000
2.06285585585585e+004	1.45407421182215e+001,0.00000000000000e+000
2.07286486486486e+004	1.45696930817126e+001,0.00000000000000e+000
2.08287387387387e+004	1.45984229325026e+001,0.00000000000000e+000
2.09288288288288e+004	1.46269340592352e+001,0.00000000000000e+000
2.10289189189189e+004	1.46552288277968e+001,0.00000000000000e+000
2.11290090090090e+004	1.46833095814243e+001,0.00000000000000e+000
2.12290990990991e+004	1.47111786408163e+001,0.00000000000000e+000
2.13291891891892e+004	1.47388383042487e+001,0.00000000000000e+000
2.14292792792792e+004	1.47662908476935e+001,0.00000000000000e+000
2.15293693693693e+004	1.47935385249420e+001,0.00000000000000e+000
2.16294594594594e+004	1.48205835677307e+001,0.00000000000000e+000
2.17295495495495e+004	1.48474281858710e+001,0.00000000000000e+000
2.18296396396396e+004	1.48740745673808e+001,0.00000000000000e+000
2.19297297297297e+004	1.49005248786205e+001,0.00000000000000e+000
2.20298198198198e+004	1.49267812644302e+001,0.00000000000000e+000
2.21299099099099e+004	1.49528458482705e+001,0.00000000000000e+000
2.22299999999999e+004	1.49787207323647e+001,0.00000000000000e+000
2.23300900900900e+004	1.50044079978440e+001,0.00000000000000e+000
2.24301801801801e+004	1.50299097048942e+001,0.00000000000000e+000
2.25302702702702e+004	1.50552278929046e+001,0.00000000000000e+000
2.26303603603603e+004	1.50803645806184e+001,0.00000000000000e+000
2.27304504504504e+004	1.51053217662848e+001,0.00000000000000e+000
2.28305405405405e+004	1.51301014278127e+001,0.00000000000000e+000
2.29306306306306e+004	1.51547055229260e+001,0.00000000000000e+000
2.30307207207207e+004	1.51791359893191e+001,0.00000000000000e+000
2.31308108108107e+004	1.52033947448153e+001,0.00000000000000e+000
2.32309009009008e+004	1.52274836875242e+001,0.00000000000000e+000
2.33309909909909e+004	1.52514046960018e+001,0.00000000000000e+000
2.34310810810810e+004	1.52751596294102e+001,0.00000000000000e+000
2.35311711711711e+004	1.52987503276786e+001,0.00000000000000e+000
2.36312612612612e+004	1.53221786116647e+001,0.00000000000000e+000
2.37313513513513e+004	1.53454462833170e+001,0.00000000000000e+000
2.38314414414414e+004	1.53685551258367e+001,0.00000000000000e+000
2.39315315315315e+004	1.53915069038410e+001,0.00000000000000e+000
2.40316216216215e+004	1.54143033635261e+001,0.00000000000000e+000
2.41317117117116e+004	1.54369462328301e+001,0.00000000000000e+000
2.42318018018017e+004	1.54594372215968e+001,0.00000000000000e+000
2.43318918918918e+004	1.54817780217391e+001,0.00000000000000e+000
2.44319819819819e+004	1.55039703074022e+001,0.00000000000000e+000
2.45320720720720e+004	1.55260157351273e+001,0.00000000000000e+000
2.46321621621621e+004	1.55479159440144e+001,0.00000000000000e+000
2.47322522522522e+004	1.55696725558856e+001,0.00000000000000e+000
2.48323423423423e+004	1.55912871754478e+001,0.00000000000000e+000
2.49324324324323e+004	1.56127613904552e+001,0.00000000000000e+000
2.50325225225224e+004	1.56340967718711e+001,0.00000000000000e+000
2.51326126126125e+004	1.56552948740296e+001,0.00000000000000e+000
2.52327027027026e+004	1.56763572347970e+001,0.00000000000000e+000
2.53327927927927e+004	1.56972853757324e+001,0.00000000000000e+000
2.54328828828828e+004	1.57180808022474e+001,0.00000000000000e+000
2.55329729729729e+004	1.57387450037662e+001,0.00000000000000e+000
2.56330630630630e+004	1.57592794538840e+001,0.00000000000000e+000
2.57331531531531e+004	1.57796856105254e+001,0.00000000000000e+000
2.58332432432431e+004	1.57999649161019e+001,0.00000000000000e+000
2.59333333333332e+004	1.58201187976684e+001,0.00000000000000e+000
2.60334234234233e+004	1.58401486670796e+001,0.00000000000000e+000
2.61335135135134e+004	1.58600559211447e+001,0.00000000000000e+000
2.62336036036035e+004	1.58798419417818e+001,0.00000000000000e+000
2.63336936936936e+004	1.58995080961719e+001,0.00000000000000e+000
2.64337837837837e+004	1.59190557369106e+001,0.00000000000000e+000
2.65338738738738e+004	1.59384862021603e+001,0.00000000000000e+000
2.66339639639639e+004	1.59578008158011e+001,0.00000000000000e+000
2.67340540540539e+004	1.59770008875799e+001,0.00000000000000e+000
2.68341441441440e+004	1.59960877132600e+001,0.00000000000000e+000
2.69342342342341e+004	1.60150625747683e+001,0.00000000000000e+000
2.70343243243242e+004	1.60339267403422e+001,0.00000000000000e+000
2.71344144144143e+004	1.60526814646758e+001,0.00000000000000e+000
2.72345045045044e+004	1.60713279890640e+001,0.00000000000000e+000
2.73345945945945e+004	1.60898675415467e+001,0.00000000000000e+000
2.74346846846846e+004	1.61083013370512e+001,0.00000000000000e+000
2.75347747747747e+004	1.61266305775335e+001,0.00000000000000e+000
2.76348648648647e+004	1.61448564521192e+001,0.00000000000000e+000
2.77349549549548e+004	1.61629801372425e+001,0.00000000000000e+000
2.78350450450449e+004	1.61810027967845e+001,0.00000000000000e+000
2.79351351351350e+004	1.61989255822103e+001,0.00000000000000e+000
2.80352252252251e+004	1.62167496327050e+001,0.00000000000000e+000
2.81353153153152e+004	1.62344760753087e+001,0.00000000000000e+000
2.82354054054053e+004	1.62521060250499e+001,0.00000000000000e+000
2.83354954954954e+004	1.62696405850784e+001,0.00000000000000e+000
2.84355855855855e+004	1.62870808467964e+001,0.00000000000000e+000
2.85356756756755e+004	1.63044278899890e+001,0.00000000000000e+000
2.86357657657656e+004	1.63216827829533e+001,0.00000000000000e+000
2.87358558558557e+004	1.63388465826263e+001,0.00000000000000e+000
2.88359459459458e+004	1.63559203347118e+001,0.00000000000000e+000
2.89360360360359e+004	1.63729050738058e+001,0.00000000000000e+000
2.90361261261260e+004	1.63898018235213e+001,0.00000000000000e+000
2.91362162162161e+004	1.64066115966115e+001,0.00000000000000e+000
2.92363063063062e+004	1.64233353950920e+001,0.00000000000000e+000
2.93363963963963e+004	1.64399742103615e+001,0.00000000000000e+000
2.94364864864863e+004	1.64565290233224e+001,0.00000000000000e+000
2.95365765765764e+004	1.64730008044987e+001,0.00000000000000e+000
2.96366666666665e+004	1.64893905141540e+001,0.00000000000000e+000
2.97367567567566e+004	1.65056991024078e+001,0.00000000000000e+000
2.98368468468467e+004	1.65219275093507e+001,0.00000000000000e+000
2.99369369369368e+004	1.65380766651586e+001,0.00000000000000e+000
3.00370270270269e+004	1.65541474902057e+001,0.00000000000000e+000
3.01371171171170e+004	1.65701408951760e+001,0.00000000000000e+000
3.02372072072071e+004	1.65860577811745e+001,0.00000000000000e+000
3.03372972972971e+004	1.66018990398365e+001,0.00000000000000e+000
3.04373873873872e+004	1.66176655534360e+001,0.00000000000000e+000
3.05374774774773e+004	1.66333581949931e+001,0.00000000000000e+000
3.06375675675674e+004	1.66489778283804e+001,0.00000000000000e+000
3.07376576576575e+004	1.66645253084278e+001,0.00000000000000e+000
3.08377477477476e+004	1.66800014810268e+001,0.00000000000000e+000
3.09378378378377e+004	1.66954071832333e+001,0.00000000000000e+000
3.10379279279278e+004	1.67107432433695e+001,0.00000000000000e+000
3.11380180180179e+004	1.67260104811243e+001,0.00000000000000e+000
3.12381081081079e+004	1.67412097076538e+001,0.00000000000000e+000
3.13381981981980e+004	1.67563417256789e+001,0.00000000000000e+000
3.14382882882881e+004	1.67714073295838e+001,0.00000000000000e+000
3.15383783783782e+004	1.67864073055117e+001,0.00000000000000e+000
3.16384684684683e+004	1.68013424314610e+001,0.00000000000000e+000
3.17385585585584e+004	1.68162134773790e+001,0.00000000000000e+000
3.18386486486485e+004	1.68310212052557e+001,0.00000000000000e+000
3.19387387387386e+004	1.68457663692164e+001,0.00000000000000e+000
3.20388288288286e+004	1.68604497156124e+001,0.00000000000000e+000
3.21389189189187e+004	1.68750719831117e+001,0.00000000000000e+000
3.22390090090088e+004	1.68896339027886e+001,0.00000000000000e+000
3.23390990990989e+004	1.69041361982114e+001,0.00000000000000e+000
3.24391891891890e+004	1.69185795855306e+001,0.00000000000000e+000
3.25392792792791e+004	1.69329647735643e+001,0.00000000000000e+000
3.26393693693692e+004	1.69472924638845e+001,0.00000000000000e+000
3.27394594594593e+004	1.69615633509013e+001,0.00000000000000e+000
3.28395495495494e+004	1.69757781219460e+001,0.00000000000000e+000
3.29396396396394e+004	1.69899374573541e+001,0.00000000000000e+000
3.30397297297295e+004	1.70040420305471e+001,0.00000000000000e+000
3.31398198198196e+004	1.70180925081125e+001,0.00000000000000e+000
3.32399099099097e+004	1.70320895498845e+001,0.00000000000000e+000
3.33399999999998e+004	1.70460338090219e+001,0.00000000000000e+000
3.34400900900899e+004	1.70599259320871e+001,0.00000000000000e+000
3.35401801801800e+004	1.70737665591223e+001,0.00000000000000e+000
3.36402702702701e+004	1.70875563237264e+001,0.00000000000000e+000
3.37403603603602e+004	1.71012958531297e+001,0.00000000000000e+000
3.38404504504502e+004	1.71149857682689e+001,0.00000000000000e+000
3.39405405405403e+004	1.71286266838604e+001,0.00000000000000e+000
3.40406306306304e+004	1.71422192084733e+001,0.00000000000000e+000
3.41407207207205e+004	1.71557639446009e+001,0.00000000000000e+000
3.42408108108106e+004	1.71692614887323e+001,0.00000000000000e+000
3.43409009009007e+004	1.71827124314222e+001,0.00000000000000e+000
3.44409909909908e+004	1.71961173573607e+001,0.00000000000000e+000
3.45410810810809e+004	1.72094768454416e+001,0.00000000000000e+000
3.46411711711710e+004	1.72227914688305e+001,0.00000000000000e+000
3.47412612612610e+004	1.72360617950316e+001,0.00000000000000e+000
3.48413513513511e+004	1.72492883859544e+001,0.00000000000000e+000
3.49414414414412e+004	1.72624717979787e+001,0.00000000000000e+000
3.50415315315313e+004	1.72756125820194e+001,0.00000000000000e+000
3.51416216216214e+004	1.72887112835906e+001,0.00000000000000e+000
3.52417117117115e+004	1.73017684428688e+001,0.00000000000000e+000
3.53418018018016e+004	1.73147845947555e+001,0.00000000000000e+000
3.54418918918917e+004	1.73277602689384e+001,0.00000000000000e+000
3.55419819819818e+004	1.73406959899531e+001,0.00000000000000e+000
3.56420720720718e+004	1.73535922772427e+001,0.00000000000000e+000
3.57421621621619e+004	1.73664496452180e+001,0.00000000000000e+000
3.58422522522520e+004	1.73792686033160e+001,0.00000000000000e+000
3.59423423423421e+004	1.73920496560582e+001,0.00000000000000e+000
3.60424324324322e+004	1.74047933031080e+001,0.00000000000000e+000
3.61425225225223e+004	1.74175000393274e+001,0.00000000000000e+000
3.62426126126124e+004	1.74301703548338e+001,0.00000000000000e+000
3.63427027027025e+004	1.74428047350544e+001,0.00000000000000e+000
3.64427927927926e+004	1.74554036607820e+001,0.00000000000000e+000
3.65428828828826e+004	1.74679676082286e+001,0.00000000000000e+000
3.66429729729727e+004	1.74804970490791e+001,0.00000000000000e+000
3.67430630630628e+004	1.74929924505442e+001,0.00000000000000e+000
3.68431531531529e+004	1.75054542754127e+001,0.00000000000000e+000
3.69432432432430e+004	1.75178829821029e+001,0.00000000000000e+000
3.70433333333331e+004	1.75302790247140e+001,0.00000000000000e+000
3.71434234234232e+004	1.75426428530764e+001,0.00000000000000e+000
3.72435135135133e+004	1.75549749128012e+001,0.00000000000000e+000
3.73436036036034e+004	1.75672756453299e+001,0.00000000000000e+000
3.74436936936934e+004	1.75795454879828e+001,0.00000000000000e+000
3.75437837837835e+004	1.75917848740072e+001,0.00000000000000e+000
3.76438738738736e+004	1.76039942326246e+001,0.00000000000000e+000
3.77439639639637e+004	1.76161739890780e+001,0.00000000000000e+000
3.78440540540538e+004	1.76283245646783e+001,0.00000000000000e+000
3.79441441441439e+004	1.76404463768495e+001,0.00000000000000e+000
3.80442342342340e+004	1.76525398391750e+001,0.00000000000000e+000
3.81443243243241e+004	1.76646053614412e+001,0.00000000000000e+000
3.82444144144142e+004	1.76766433496828e+001,0.00000000000000e+000
3.83445045045042e+004	1.76886542062256e+001,0.00000000000000e+000
3.84445945945943e+004	1.77006383297303e+001,0.00000000000000e+000
3.85446846846844e+004	1.77125961152346e+001,0.00000000000000e+000
3.86447747747745e+004	1.77245279541960e+001,0.00000000000000e+000
3.87448648648646e+004	1.77364342345327e+001,0.00000000000000e+000
3.88449549549547e+004	1.77483153406654e+001,0.00000000000000e+000
3.89450450450448e+004	1.77601716535576e+001,0.00000000000000e+000
3.90451351351349e+004	1.77720035507558e+001,0.00000000000000e+000
3.91452252252250e+004	1.77838114064294e+001,0.00000000000000e+000
3.92453153153150e+004	1.77955955914097e+001,0.00000000000000e+000
3.93454054054051e+004	1.78073564732289e+001,0.00000000000000e+000
3.94454954954952e+004	1.78190944161580e+001,0.00000000000000e+000
3.95455855855853e+004	1.78308097812451e+001,0.00000000000000e+000
3.96456756756754e+004	1.78425029263527e+001,0.00000000000000e+000
3.97457657657655e+004	1.78541742061944e+001,0.00000000000000e+000
3.98458558558556e+004	1.78658239723718e+001,0.00000000000000e+000
3.99459459459457e+004	1.78774525734102e+001,0.00000000000000e+000
4.00460360360358e+004	1.78890603547945e+001,0.00000000000000e+000
4.01461261261258e+004	1.79006476590044e+001,0.00000000000000e+000
4.02462162162159e+004	1.79122148255493e+001,0.00000000000000e+000
4.03463063063060e+004	1.79237621910026e+001,0.00000000000000e+000
4.04463963963961e+004	1.79352900890356e+001,0.00000000000000e+000
4.05464864864862e+004	1.79467988504513e+001,0.00000000000000e+000
4.06465765765763e+004	1.79582888032177e+001,0.00000000000000e+000
4.07466666666664e+004	1.79697602725002e+001,0.00000000000000e+000
4.08467567567565e+004	1.79812135806946e+001,0.00000000000000e+000
4.09468468468466e+004	1.79926490474585e+001,0.00000000000000e+000
4.10469369369366e+004	1.80040669897436e+001,0.00000000000000e+000
4.11470270270267e+004	1.80154677218265e+001,0.00000000000000e+000
4.12471171171168e+004	1.80268515553399e+001,0.00000000000000e+000
4.13472072072069e+004	1.80382187993033e+001,0.00000000000000e+000
4.14472972972970e+004	1.80495697601526e+001,0.00000000000000e+000
4.15473873873871e+004	1.80609047417709e+001,0.00000000000000e+000
4.16474774774772e+004	1.80722240455170e+001,0.00000000000000e+000
4.17475675675673e+004	1.80835279702552e+001,0.00000000000000e+000
4.18476576576574e+004	1.80948168123841e+001,0.00000000000000e+000
4.19477477477474e+004	1.81060908658648e+001,0.00000000000000e+000
4.20478378378375e+004	1.81173504222492e+001,0.00000000000000e+000
