time	V(vin)	V(vout)
9.052072295016657e-008	3.323765e+000	3.424548e+000
9.254050799678695e-008	3.139398e+000	2.162183e+000
9.383599976447715e-008	2.826482e+000	1.352500e+000
9.600000000000017e-008	2.088855e+000	1.776357e-015
9.621640002355248e-008	2.010802e+000	1.352500e-001
9.664920007065709e-008	1.880184e+000	4.057500e-001
9.751480016486629e-008	1.715592e+000	9.467501e-001
9.878381446062014e-008	1.664425e+000	1.739884e+000
1.005311053760274e-007	1.868467e+000	2.831941e+000
1.022306680287898e-007	2.302734e+000	3.894167e+000
1.040000000000002e-007	2.915445e+000	5.000000e+000
1.041769331971213e-007	2.980881e+000	4.889417e+000
1.045307995913633e-007	3.094303e+000	4.668250e+000
1.052385323798475e-007	3.244575e+000	4.225917e+000
1.066539979568159e-007	3.314314e+000	3.341251e+000
1.089091843178297e-007	3.071324e+000	1.931760e+000
1.099563376582721e-007	2.835440e+000	1.277289e+000
1.103108480323693e-007	2.719969e+000	1.055720e+000
1.107160027456232e-007	2.579018e+000	8.024983e-001
1.111896905734924e-007	2.402712e+000	5.064434e-001
1.120000000000002e-007	2.084352e+000	1.776357e-015
1.122430928279526e-007	1.992269e+000	1.519330e-001
1.125672165985557e-007	1.890155e+000	3.545104e-001
1.132154641397620e-007	1.752012e+000	7.596651e-001
1.145119592221745e-007	1.659268e+000	1.569975e+000
1.161816368452306e-007	1.800997e+000	2.613523e+000
1.165081659694615e-007	1.842673e+000	2.817604e+000
1.168346950936925e-007	1.895972e+000	3.021684e+000
1.171612242179234e-007	1.960894e+000	3.225765e+000
1.174877533421543e-007	2.037439e+000	3.429846e+000
1.178142824663853e-007	2.125608e+000	3.633927e+000
1.181408115906162e-007	2.225399e+000	3.838007e+000
1.184673407148471e-007	2.336814e+000	4.042088e+000
1.190422949539493e-007	2.546484e+000	4.401434e+000
1.200000000000002e-007	2.917486e+000	5.000000e+000
1.202873115138155e-007	3.024307e+000	4.820430e+000
1.206703935322359e-007	3.138379e+000	4.581004e+000
1.214365575690766e-007	3.277633e+000	4.102151e+000
1.229688856427581e-007	3.307138e+000	3.144446e+000
1.251796926623361e-007	3.025712e+000	1.762692e+000
1.258427090416376e-007	2.862423e+000	1.348307e+000
1.266739672413974e-007	2.583140e+000	8.287705e-001
1.280000000000003e-007	2.086337e+000	0.000000e+000
1.283978098275811e-007	1.944619e+000	2.486311e-001
1.289282229310223e-007	1.807781e+000	5.801393e-001
1.299890491379046e-007	1.671662e+000	1.243156e+000
1.315021664914190e-007	1.708571e+000	2.188854e+000
1.331625486266579e-007	1.976614e+000	3.226593e+000
1.340625970720482e-007	2.206238e+000	3.789123e+000
1.344745151835631e-007	2.341897e+000	4.046572e+000
1.350237393322496e-007	2.541969e+000	4.389837e+000
1.360000000000003e-007	2.919549e+000	5.000000e+000
1.362928782003255e-007	3.028080e+000	4.816951e+000
1.366833824674257e-007	3.143399e+000	4.572886e+000
1.374643910016262e-007	3.282138e+000	4.084755e+000
1.390264080700272e-007	3.305087e+000	3.108495e+000
1.412223591227650e-007	3.018721e+000	1.736026e+000
1.418225898663852e-007	2.868698e+000	1.360881e+000
1.427995385127599e-007	2.538137e+000	7.502884e-001
1.440000000000003e-007	2.086530e+000	0.000000e+000
1.443601384461724e-007	1.956241e+000	2.250865e-001
1.448403230410686e-007	1.825862e+000	5.252019e-001
1.458006922308608e-007	1.682960e+000	1.125433e+000
1.472373472257789e-007	1.684554e+000	2.023342e+000
1.489031533178075e-007	1.921810e+000	3.064471e+000
1.500000000000000e-007	2.184645e+000	3.750000e+000
