time	V(vin)	V(vout)	I(R1)
5.516408006800223e-003	0.000000e+000	8.154714e-001	3.114806e-004
5.545704881800223e-003	0.000000e+000	7.290524e-001	2.784724e-004
5.575001756800224e-003	0.000000e+000	6.517916e-001	2.489618e-004
5.604298631800224e-003	0.000000e+000	5.827183e-001	2.225784e-004
5.633595506800224e-003	0.000000e+000	5.209650e-001	1.989908e-004
5.662892381800224e-003	0.000000e+000	4.657560e-001	1.779029e-004
5.692189256800225e-003	0.000000e+000	4.163977e-001	1.590497e-004
5.721486131800225e-003	0.000000e+000	3.722702e-001	1.421945e-004
5.750783006800225e-003	0.000000e+000	3.328190e-001	1.271255e-004
5.780079881800225e-003	0.000000e+000	2.975487e-001	1.136534e-004
5.809376756800226e-003	0.000000e+000	2.660161e-001	1.016090e-004
5.838673631800226e-003	0.000000e+000	2.378251e-001	9.084107e-005
5.867970506800226e-003	0.000000e+000	2.126217e-001	8.121423e-005
5.897267381800226e-003	0.000000e+000	1.900892e-001	7.260759e-005
5.926564256800227e-003	0.000000e+000	1.699446e-001	6.491303e-005
5.955861131800227e-003	0.000000e+000	1.519348e-001	5.803390e-005
5.985158006800227e-003	0.000000e+000	1.358336e-001	5.188378e-005
6.014454881800227e-003	0.000000e+000	1.214387e-001	4.638542e-005
6.043751756800228e-003	0.000000e+000	1.085692e-001	4.146975e-005
6.073048631800228e-003	0.000000e+000	9.706368e-002	3.707501e-005
6.102345506800228e-003	0.000000e+000	8.677740e-002	3.314600e-005
6.131642381800228e-003	0.000000e+000	7.758120e-002	2.963337e-005
6.160939256800229e-003	0.000000e+000	6.935956e-002	2.649298e-005
6.190236131800229e-003	0.000000e+000	6.200922e-002	2.368540e-005
6.219533006800229e-003	0.000000e+000	5.543781e-002	2.117535e-005
6.248829881800229e-003	0.000000e+000	4.956282e-002	1.893130e-005
6.278126756800229e-003	0.000000e+000	4.431042e-002	1.692507e-005
6.307423631800230e-003	0.000000e+000	3.961464e-002	1.513144e-005
6.336720506800230e-003	0.000000e+000	3.541650e-002	1.352789e-005
6.366017381800230e-003	0.000000e+000	3.166325e-002	1.209428e-005
6.395314256800230e-003	0.000000e+000	2.830775e-002	1.081259e-005
6.424611131800231e-003	0.000000e+000	2.530785e-002	9.666734e-006
6.453908006800231e-003	0.000000e+000	2.262586e-002	8.642306e-006
6.483204881800231e-003	0.000000e+000	2.022810e-002	7.726441e-006
6.512501756800231e-003	0.000000e+000	1.808443e-002	6.907635e-006
6.541798631800232e-003	0.000000e+000	1.616794e-002	6.175601e-006
6.571095506800232e-003	0.000000e+000	1.445455e-002	5.521145e-006
6.600392381800232e-003	0.000000e+000	1.292274e-002	4.936044e-006
6.629689256800232e-003	0.000000e+000	1.155325e-002	4.412949e-006
6.658986131800233e-003	0.000000e+000	1.032890e-002	3.945288e-006
6.688283006800233e-003	0.000000e+000	9.234303e-003	3.527188e-006
6.717579881800233e-003	0.000000e+000	8.255702e-003	3.153396e-006
6.746876756800233e-003	0.000000e+000	7.380807e-003	2.819216e-006
6.776173631800234e-003	0.000000e+000	6.598630e-003	2.520451e-006
6.805470506800234e-003	0.000000e+000	5.899343e-003	2.253347e-006
6.834767381800234e-003	0.000000e+000	5.274162e-003	2.014550e-006
6.864064256800234e-003	0.000000e+000	4.715235e-003	1.801059e-006
6.893361131800235e-003	0.000000e+000	4.215540e-003	1.610192e-006
6.922658006800235e-003	0.000000e+000	3.768800e-003	1.439553e-006
