time	V(vin)	V(vout)	I(R1)
9.786367515787721e-002	5.000000e+000	4.999068e+000	-8.056735e-008
9.788407687039012e-002	5.000000e+000	4.999107e+000	-2.609962e-007
9.791561829355487e-002	5.000000e+000	4.999238e+000	-5.042655e-007
9.795172603547282e-002	5.000000e+000	4.999464e+000	-7.068741e-007
9.799853681024541e-002	5.000000e+000	4.999827e+000	-8.213302e-007
9.805158743823390e-002	5.000000e+000	5.000253e+000	-7.632722e-007
9.809259304449206e-002	5.000000e+000	5.000540e+000	-5.892464e-007
9.812154183808745e-002	5.000000e+000	5.000691e+000	-4.026006e-007
9.814648063719442e-002	5.000000e+000	5.000772e+000	-2.137716e-007
9.819045828170525e-002	5.000000e+000	5.000789e+000	1.350580e-007
9.821313684963824e-002	5.000000e+000	5.000734e+000	2.998204e-007
9.824896871204225e-002	5.000000e+000	5.000579e+000	5.146312e-007
9.828708041681289e-002	5.000000e+000	5.000352e+000	6.596883e-007
9.833834923888164e-002	5.000000e+000	5.000001e+000	6.968233e-007
9.839719308617266e-002	5.000000e+000	4.999615e+000	5.650466e-007
9.842565496998218e-002	5.000000e+000	4.999466e+000	4.322693e-007
9.845545992990606e-002	5.000000e+000	4.999362e+000	2.479387e-007
9.847977665508464e-002	5.000000e+000	4.999318e+000	8.420233e-008
9.850040939238365e-002	5.000000e+000	4.999314e+000	-5.712046e-008
9.852106439093417e-002	5.000000e+000	4.999343e+000	-1.916467e-007
9.855232062465727e-002	5.000000e+000	4.999438e+000	-3.692792e-007
9.858857910275279e-002	5.000000e+000	4.999605e+000	-5.195315e-007
9.863507901677272e-002	5.000000e+000	4.999870e+000	-6.041508e-007
9.868826434827178e-002	5.000000e+000	5.000184e+000	-5.619833e-007
9.872995505146695e-002	5.000000e+000	5.000399e+000	-4.321488e-007
9.875863081599465e-002	5.000000e+000	5.000509e+000	-2.961583e-007
9.878363892717608e-002	5.000000e+000	5.000568e+000	-1.567502e-007
9.882769659623557e-002	5.000000e+000	5.000580e+000	1.003451e-007
9.885045615780569e-002	5.000000e+000	5.000540e+000	2.218905e-007
9.888633776027203e-002	5.000000e+000	5.000425e+000	3.797977e-007
9.892451640860153e-002	5.000000e+000	5.000257e+000	4.861088e-007
9.897584699748742e-002	5.000000e+000	4.999999e+000	5.123737e-007
9.903488205933878e-002	5.000000e+000	4.999714e+000	4.138338e-007
9.906322427462463e-002	5.000000e+000	4.999605e+000	3.160740e-007
9.909294504101261e-002	5.000000e+000	4.999530e+000	1.805140e-007
9.913792273769430e-002	5.000000e+000	4.999496e+000	-4.419093e-008
9.915823376819682e-002	5.000000e+000	4.999517e+000	-1.414172e-007
9.918987859441028e-002	5.000000e+000	4.999588e+000	-2.734966e-007
9.922593245906848e-002	5.000000e+000	4.999710e+000	-3.828873e-007
9.927285604070446e-002	5.000000e+000	4.999907e+000	-4.447481e-007
9.932585862987262e-002	5.000000e+000	5.000137e+000	-4.131638e-007
9.936661791995023e-002	5.000000e+000	5.000292e+000	-3.194110e-007
9.939566616561696e-002	5.000000e+000	5.000374e+000	-2.179836e-007
9.942066177946378e-002	5.000000e+000	5.000418e+000	-1.155235e-007
9.946464285885480e-002	5.000000e+000	5.000427e+000	7.334826e-008
9.948734325294881e-002	5.000000e+000	5.000398e+000	1.626141e-007
9.952319449003787e-002	5.000000e+000	5.000314e+000	2.788984e-007
9.956132449201814e-002	5.000000e+000	5.000190e+000	3.573356e-007
9.961261579114095e-002	5.000000e+000	5.000000e+000	3.772013e-007
9.967151521591372e-002	5.000000e+000	4.999791e+000	3.054992e-007
9.969994000654432e-002	5.000000e+000	4.999711e+000	2.335950e-007
9.972971917258802e-002	5.000000e+000	4.999655e+000	1.338082e-007
9.977467760418302e-002	5.000000e+000	4.999629e+000	-3.141620e-008
9.979522688530371e-002	5.000000e+000	4.999644e+000	-1.038550e-007
9.982660151227277e-002	5.000000e+000	4.999696e+000	-2.003399e-007
9.986279703639170e-002	5.000000e+000	4.999786e+000	-2.814281e-007
9.990942595838727e-002	5.000000e+000	4.999931e+000	-3.329770e-007
9.991711581752358e-002	5.000000e+000	4.999957e+000	-3.396195e-007
9.992480567665990e-002	5.000000e+000	4.999983e+000	-3.433062e-007
9.993249553579621e-002	5.000000e+000	5.000009e+000	-3.440371e-007
9.994018539493252e-002	5.000000e+000	5.000035e+000	-3.418121e-007
9.994787525406883e-002	5.000000e+000	5.000060e+000	-3.366313e-007
9.995556511320515e-002	5.000000e+000	5.000085e+000	-3.284946e-007
9.996325497234146e-002	5.000000e+000	5.000110e+000	-3.174021e-007
9.996850440486411e-002	5.000000e+000	5.000127e+000	-3.098291e-007
9.997375383738676e-002	5.000000e+000	5.000143e+000	-3.014387e-007
9.997900326990941e-002	5.000000e+000	5.000159e+000	-2.922310e-007
9.998425270243205e-002	5.000000e+000	5.000174e+000	-2.822060e-007
9.998950213495471e-002	5.000000e+000	5.000188e+000	-2.713636e-007
9.999475156747735e-002	5.000000e+000	5.000202e+000	-2.597038e-007
1.000000010000000e-001	5.000000e+000	5.000216e+000	-2.472267e-007
1.000000013000000e-001	3.500000e+000	5.000216e+000	-2.439610e-007
1.000000016000000e-001	2.000000e+000	5.000216e+000	-2.364453e-007
1.000000020000000e-001	0.000000e+000	5.000216e+000	-2.219243e-007
1.000014999600200e-001	0.000000e+000	4.999509e+000	7.465492e-005
1.000029979200400e-001	0.000000e+000	4.997416e+000	1.492867e-004
1.000044958800600e-001	0.000000e+000	4.993938e+000	2.236733e-004
1.000059938400800e-001	0.000000e+000	4.989075e+000	2.978149e-004
1.000074918001000e-001	0.000000e+000	4.982826e+000	3.717114e-004
1.000089897601200e-001	0.000000e+000	4.975191e+000	4.453629e-004
1.000104877201400e-001	0.000000e+000	4.966171e+000	5.187692e-004
1.000209734802800e-001	0.000000e+000	4.865944e+000	1.019867e-003
1.000419450005600e-001	0.000000e+000	4.494928e+000	1.937761e-003
1.000793675889000e-001	0.000000e+000	3.449359e+000	3.277171e-003
1.001192154787707e-001	0.000000e+000	1.963188e+000	4.245689e-003
1.001477404988149e-001	0.000000e+000	7.242070e-001	4.545907e-003
1.001739932580549e-001	0.000000e+000	-4.581290e-001	4.467697e-003
1.002008177969467e-001	0.000000e+000	-1.596271e+000	4.065142e-003
1.002319020856062e-001	0.000000e+000	-2.705956e+000	3.251779e-003
1.002714131871197e-001	0.000000e+000	-3.731993e+000	1.872935e-003
1.003003953825853e-001	0.000000e+000	-4.164744e+000	7.075676e-004
1.003196816522996e-001	0.000000e+000	-4.230118e+000	-1.035358e-004
1.003451727740730e-001	0.000000e+000	-4.052284e+000	-1.139645e-003
1.003717732702763e-001	0.000000e+000	-3.592651e+000	-2.090262e-003
1.004110607249637e-001	0.000000e+000	-2.518780e+000	-3.147699e-003
1.004526261764744e-001	0.000000e+000	-1.083636e+000	-3.797126e-003
1.004808456017066e-001	0.000000e+000	-8.420181e-003	-3.884038e-003
1.005071689424888e-001	0.000000e+000	9.848975e-001	-3.660699e-003
1.005336318316398e-001	0.000000e+000	1.871719e+000	-3.171556e-003
1.005710986692256e-001	0.000000e+000	2.849542e+000	-2.160207e-003
1.006074629468322e-001	0.000000e+000	3.464896e+000	-9.677660e-004
1.006301494881484e-001	0.000000e+000	3.618257e+000	-1.582730e-004
1.006535851615965e-001	0.000000e+000	3.556267e+000	6.763510e-004
1.006768678682444e-001	0.000000e+000	3.288140e+000	1.434101e-003
1.007130953144429e-001	0.000000e+000	2.554016e+000	2.394216e-003
1.007518741060145e-001	0.000000e+000	1.496939e+000	3.098313e-003
1.007803181436826e-001	0.000000e+000	5.927302e-001	3.332532e-003
1.008065694905891e-001	0.000000e+000	-2.759317e-001	3.290683e-003
1.008334482035303e-001	0.000000e+000	-1.119147e+000	3.010615e-003
1.008637513279904e-001	0.000000e+000	-1.926486e+000	2.444731e-003
1.009030372249511e-001	0.000000e+000	-2.698773e+000	1.453468e-003
1.009325975210045e-001	0.000000e+000	-3.045547e+000	5.873767e-004
1.009511061877452e-001	0.000000e+000	-3.108009e+000	1.577650e-005
1.009759671471971e-001	0.000000e+000	-3.006221e+000	-7.336654e-004
1.010010056520879e-001	0.000000e+000	-2.716911e+000	-1.407726e-003
1.010396583166740e-001	0.000000e+000	-1.981425e+000	-2.218358e-003
1.010797578823765e-001	0.000000e+000	-9.942963e-001	-2.745213e-003
