time	V(vin)	V(vout)	I(L1)
6.233505453899679e-003	0.000000e+000	-1.118194e-004	-8.787747e-008
6.254431793185394e-003	0.000000e+000	-9.447587e-005	-7.729520e-008
6.275358132471109e-003	0.000000e+000	-7.946831e-005	-6.704449e-008
6.296284471756823e-003	0.000000e+000	-6.679678e-005	-5.712534e-008
6.354878221756823e-003	0.000000e+000	-3.967761e-005	-3.634671e-008
6.413471971756824e-003	0.000000e+000	-2.274943e-005	-2.216807e-008
6.501362596756825e-003	0.000000e+000	-9.240348e-006	-9.857022e-009
6.559448063417754e-003	0.000000e+000	-5.954437e-006	-6.503745e-009
6.617533530078683e-003	0.000000e+000	-3.323000e-006	-3.801077e-009
6.675618996739613e-003	0.000000e+000	-1.346037e-006	-1.749018e-009
6.733704463400543e-003	0.000000e+000	-2.354921e-008	-3.475686e-010
6.791789930061473e-003	0.000000e+000	6.444645e-007	4.032720e-010
6.849875396722402e-003	0.000000e+000	6.580038e-007	5.035035e-010
6.907960863383331e-003	0.000000e+000	1.706877e-008	-4.687404e-011
1.000000000000000e-002	0.000000e+000	-1.483290e-020	-5.593178e-024
1.000000014285714e-002	7.142857e-001	-2.103244e-012	-7.046646e-010
1.000000028571429e-002	1.428571e+000	5.527866e-013	-2.367296e-009
1.000000042857143e-002	2.142857e+000	7.968092e-012	-4.987895e-009
1.000000057142857e-002	2.857143e+000	2.014267e-011	-8.566460e-009
1.000000071428571e-002	3.571429e+000	3.707653e-011	-1.310299e-008
1.000000085714286e-002	4.285714e+000	5.876965e-011	-1.859749e-008
1.000000100000000e-002	5.000000e+000	8.522206e-011	-2.504996e-008
1.000052928756953e-002	5.000000e+000	9.202315e-005	-2.626645e-005
1.000105757513907e-002	5.000000e+000	3.487241e-004	-5.219050e-005
1.000158586270860e-002	5.000000e+000	7.701030e-004	-7.779720e-005
1.000211415027813e-002	5.000000e+000	1.356160e-003	-1.030865e-004
1.000264243784767e-002	5.000000e+000	2.106894e-003	-1.280585e-004
1.000317072541720e-002	5.000000e+000	3.022307e-003	-1.527132e-004
1.000369901298674e-002	5.000000e+000	4.102397e-003	-1.770504e-004
1.000732239325825e-002	5.000000e+000	1.475176e-002	-3.375580e-004
1.001246797747536e-002	5.000000e+000	3.956509e-002	-5.460288e-004
1.002013968286298e-002	5.000000e+000	9.521362e-002	-8.180381e-004
1.003016084562476e-002	5.000000e+000	1.961061e-001	-1.111270e-003
1.004373327623000e-002	5.000000e+000	3.727270e-001	-1.412575e-003
1.006085269098465e-002	5.000000e+000	6.414024e-001	-1.665366e-003
1.008307123098370e-002	5.000000e+000	1.034417e+000	-1.832821e-003
1.011092792087027e-002	5.000000e+000	1.552035e+000	-1.872811e-003
1.014022479587027e-002	5.000000e+000	2.087686e+000	-1.784781e-003
1.016952167087027e-002	5.000000e+000	2.586131e+000	-1.617937e-003
1.019881854587027e-002	5.000000e+000	3.030513e+000	-1.415706e-003
1.022811542087027e-002	5.000000e+000	3.414639e+000	-1.206595e-003
1.025741229587027e-002	5.000000e+000	3.738949e+000	-1.007361e-003
1.028670917087026e-002	5.000000e+000	4.007644e+000	-8.269295e-004
1.031600604587026e-002	5.000000e+000	4.226798e+000	-6.691631e-004
1.034530292087026e-002	5.000000e+000	4.403156e+000	-5.347733e-004
1.037459979587026e-002	5.000000e+000	4.543399e+000	-4.226235e-004
1.040389667087026e-002	5.000000e+000	4.653734e+000	-3.305949e-004
1.043319354587026e-002	5.000000e+000	4.739682e+000	-2.561475e-004
1.046249042087026e-002	5.000000e+000	4.806013e+000	-1.966681e-004
1.049178729587026e-002	5.000000e+000	4.856747e+000	-1.496744e-004
1.052108417087026e-002	5.000000e+000	4.895213e+000	-1.129223e-004
1.055038104587026e-002	5.000000e+000	4.924126e+000	-8.445288e-005
1.057967792087026e-002	5.000000e+000	4.945666e+000	-6.259886e-005
