Freq.	V(vout)
7.90000000000000e+002	(-2.49272146596787e+000dB,-8.13668600902072e+001°)
8.00000000000000e+002	(-2.67061359848510e+000dB,-8.15431667433200e+001°)
8.10000000000000e+002	(-2.84884422183877e+000dB,-8.17161461093611e+001°)
8.20000000000000e+002	(-3.02747385535264e+000dB,-8.18859136879646e+001°)
8.30000000000000e+002	(-3.20656363770709e+000dB,-8.20525797567996e+001°)
8.40000000000000e+002	(-3.38617543020875e+000dB,-8.22162496593750e+001°)
8.50000000000000e+002	(-3.56637192379735e+000dB,-8.23770240742841e+001°)
8.60000000000000e+002	(-3.74721675023932e+000dB,-8.25349992672490e+001°)
8.70000000000000e+002	(-3.92877459799630e+000dB,-8.26902673272152e+001°)
8.80000000000000e+002	(-4.11111133329888e+000dB,-8.28429163876444e+001°)
8.90000000000000e+002	(-4.29429412700287e+000dB,-8.29930308340614e+001°)
9.00000000000000e+002	(-4.47839158785807e+000dB,-8.31406914988288e+001°)
9.10000000000000e+002	(-4.66347390287803e+000dB,-8.32859758440443e+001°)
9.20000000000000e+002	(-4.84961298556458e+000dB,-8.34289581333864e+001°)
9.30000000000000e+002	(-5.03688263281520e+000dB,-8.35697095936700e+001°)
9.40000000000000e+002	(-5.22535869142336e+000dB,-8.37082985668154e+001°)
9.50000000000000e+002	(-5.41511923517533e+000dB,-8.38447906528793e+001°)
9.60000000000000e+002	(-5.60624475365218e+000dB,-8.39792488447481e+001°)
9.70000000000000e+002	(-5.79881835396382e+000dB,-8.41117336550497e+001°)
9.80000000000000e+002	(-5.99292597677662e+000dB,-8.42423032357949e+001°)
9.90000000000000e+002	(-6.18865662814779e+000dB,-8.43710134912276e+001°)
1.00000000000000e+003	(-6.38610262885291e+000dB,-8.44979181843216e+001°)
1.01000000000000e+003	(-6.58535988308893e+000dB,-8.46230690373346e+001°)
1.02000000000000e+003	(-6.78652816865949e+000dB,-8.47465158267981e+001°)
1.03000000000000e+003	(-6.98971145100479e+000dB,-8.48683064732956e+001°)
1.04000000000000e+003	(-7.19501822373144e+000dB,-8.49884871263550e+001°)
1.05000000000000e+003	(-7.40256187863319e+000dB,-8.51071022447618e+001°)
1.06000000000000e+003	(-7.61246110858009e+000dB,-8.52241946725729e+001°)
1.07000000000000e+003	(-7.82484034709842e+000dB,-8.53398057110960e+001°)
1.08000000000000e+003	(-8.03983024897807e+000dB,-8.54539751870790e+001°)
1.09000000000000e+003	(-8.25756821683989e+000dB,-8.55667415173370e+001°)
1.10000000000000e+003	(-8.47819897928695e+000dB,-8.56781417700310e+001°)
1.11000000000000e+003	(-8.70187522707028e+000dB,-8.57882117227942e+001°)
1.12000000000000e+003	(-8.92875831464007e+000dB,-8.58969859178938e+001°)
1.13000000000000e+003	(-9.15901903555729e+000dB,-8.60044977145972e+001°)
1.14000000000000e+003	(-9.39283848153632e+000dB,-8.61107793389075e+001°)
1.15000000000000e+003	(-9.63040899641894e+000dB,-8.62158619308153e+001°)
1.16000000000000e+003	(-9.87193523818922e+000dB,-8.63197755892096e+001°)
1.17000000000000e+003	(-1.01176353642878e+001dB,-8.64225494145776e+001°)
1.18000000000000e+003	(-1.03677423580471e+001dB,-8.65242115496157e+001°)
1.19000000000000e+003	(-1.06225055171348e+001dB,-8.66247892178675e+001°)
1.20000000000000e+003	(-1.08821921285796e+001dB,-8.67243087604938e+001°)
1.21000000000000e+003	(-1.11470893594022e+001dB,-8.68227956712744e+001°)
1.22000000000000e+003	(-1.14175063972702e+001dB,-8.69202746299352e+001°)
1.23000000000000e+003	(-1.16937768821675e+001dB,-8.70167695338852e+001°)
1.24000000000000e+003	(-1.19762616781193e+001dB,-8.71123035284439e+001°)
1.25000000000000e+003	(-1.22653520439229e+001dB,-8.72068990356323e+001°)
1.26000000000000e+003	(-1.25614732740961e+001dB,-8.73005777815944e+001°)
1.27000000000000e+003	(-1.28650888965332e+001dB,-8.73933608227111e+001°)
1.28000000000000e+003	(-1.31767055324861e+001dB,-8.74852685704597e+001°)
1.29000000000000e+003	(-1.34968785486259e+001dB,-8.75763208150681e+001°)
1.30000000000000e+003	(-1.38262186615823e+001dB,-8.76665367480029e+001°)
